fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220909 044204	0.0537213908261038	1953.23487303703	284.421317440065	7	5	-1320000	1
20220909 044220	-0.504006301898335	3420.58842862998	480.603555003458	11	5	21120000	2
20220909 044234	-0.312263766958495	715.289080450762	322.771464706631	9	5	23146666.6666667	3
20220909 044251	-0.219489651033655	2250.54239303827	571.338221460144	13	5	21680000	4
20220909 044305	-0.404388082644436	4415.85326200069	233.736598455667	9	5	20840000	5
20220909 044322	-0.748114602571877	4718.05026511461	393.539721922149	16	5	20586666.6666667	6
20220909 044332	-0.599035469793307	2550.07783736006	551.483971218768	5	5	22360000	7
20220909 044343	-0.081814275587385	3662.24003156746	690.462785146708	5	5	20480000	8
20220909 044400	-0.696871869292227	1080.68892320077	81.6468044210633	12	5	22893333.3333333	9
20220909 044416	-0.932245475293894	2856.4619361876	777.136958349263	20	5	21653333.3333333	10
20220909 044424	0.00627622120082383	1418.97096987889	165.425047176803	3	5	-1140000	11
20220909 044444	-0.157650448597269	3944.17280878751	58.3236597687501	18	5	2.1e+07	12
20220909 044457	-0.886435895893374	4132.38216561271	963.353960737877	8	5	20466666.6666667	13
20220909 044516	-0.722203412124266	4252.61585348876	253.492130042054	18	5	20266666.6666667	14
20220909 044531	-0.459230103778342	3319.37466436632	485.07600638736	11	5	21080000	15
20220909 044545	-0.597270500543527	1335.07119366643	352.100206519943	8	5	23253333.3333333	16
20220909 044557	-0.173138828622969	4997.0679794026	998.75264319198	6	5	21106666.6666667	17
20220909 044608	-0.824504250169786	551.932495094916	275.485090655126	3	5	21133333.3333333	18
20220909 044636	-0.384880926460885	7.67219625587792	3.55280403203839	20	5	6600000	19
20220909 044647	-0.303476284388766	2932.93319664223	574.427563350003	4	5	21560000	20
20220909 044705	-0.109255438968895	4997.60088852921	856.66776423985	13	5	20826666.6666667	21
20220909 044721	-0.677475235746225	1766.97696157697	881.366681639798	9	5	22040000	22
20220909 044744	-0.866988150668494	615.370748548487	3.13392660264956	15	5	20746666.6666667	23
20220909 044759	-0.252539871731055	3595.80082460479	4.60553854050942	9	5	20266666.6666667	24
20220909 044809	-0.657385533305292	8.21884590793326	1.94986773719701	3	5	20600000	25
20220909 044824	-0.632590225505331	4014.9159660449	3.01219290002139	9	5	20573333.3333333	26
20220909 044834	-0.46718593658425	1348.13949471384	672.382136306507	3	5	21400000	27
20220909 044851	-0.75838335914105	940.34330867696	465.149622849655	10	5	22453333.3333333	28
20220909 044906	-0.322506486771095	1662.36644479203	829.572508629432	8	5	22773333.3333333	29
20220909 044921	-0.153315845878276	3171.12324088446	598.740729581469	9	5	21093333.3333333	30
20220909 044938	-0.999829511567115	1473.00330400843	440.531521603276	10	5	22386666.6666667	31
20220909 044958	-0.999857475524749	4998.45942287601	62.8851469823395	16	5	19826666.6666667	32
20220909 045008	-0.950664053906027	1857.13355844277	173.081006741967	3	5	21426666.6666667	33
20220909 045027	-0.958008507945097	1883.87150695126	938.997176641106	13	5	22373333.3333333	34
20220909 045042	-0.284522372299089	922.251923227016	460.810122561508	7	5	22640000	35
20220909 045056	-0.704979039890139	1894.72049025245	284.18762447866	8	5	21920000	36
20220909 045116	-0.633642353752197	1052.29275615954	522.782971830247	12	5	22773333.3333333	37
20220909 045127	-0.999673724161686	2004.84792320646	999.829880610129	3	5	22453333.3333333	38
20220909 045143	-0.571010837411145	2009.69193750072	999.909827245186	9	5	22080000	39
20220909 045202	-0.808115687355176	1852.31158794728	921.164582823243	17	5	22280000	40
20220909 045220	-0.342584382646407	1108.51126572998	460.693915221047	7	5	22733333.3333333	41
20220909 045237	-0.305832284620545	1869.41654251119	497.583984659398	10	5	22253333.3333333	42
20220909 045257	-0.714897770002882	1018.62550020598	509.090148125655	14	5	22706666.6666667	43
20220909 045317	-0.999981911562589	1431.12228349898	713.699421463598	20	5	22320000	44
20220909 045329	-0.454503690237095	4997.84061168026	992.8181461339	5	5	20786666.6666667	45
20220909 045346	-0.999977090204443	3268.81559067002	999.508800575087	17	5	21920000	46
20220909 045401	-0.560273359420008	744.516539645247	370.444382403164	7	5	22640000	47
20220909 045410	-0.999681628006622	4999.0455293508	675.106828920546	3	5	20786666.6666667	48
20220909 045427	-0.132530198928389	3477.0582298397	999.495617113919	20	5	21746666.6666667	49
20220909 045447	-0.796156660935807	1956.87072323395	285.089813503665	13	5	21933333.3333333	50
20220909 045458	-0.999731899298672	888.082407686886	439.649435746305	3	5	21160000	51
20220909 045515	-0.600447398908806	989.870058124455	489.088891315261	9	5	22706666.6666667	52
20220909 045529	-0.574516751305162	1915.16553027941	159.443710712507	7	5	22386666.6666667	53
20220909 045547	-0.660653003828726	1215.37941407472	315.657828302827	11	5	23026666.6666667	54
20220909 045609	-0.198711882395245	4114.54149772846	701.099766641592	17	5	20680000	55
20220909 045619	-0.772191283521702	1999.2497243968	999.467261511849	3	5	22146666.6666667	56
20220909 045629	-0.121499870977139	3982.73723179205	999.872349024452	3	5	20680000	57
20220909 045647	-0.747539789146799	2358.89622248826	989.63605274906	13	5	21920000	58
20220909 045706	-0.0855165896491239	4112.31387430701	569.156821262675	20	5	20306666.6666667	59
20220909 045717	-0.914349431865441	1819.72809138229	908.80465165768	3	5	21880000	60
20220909 045738	-0.769118643254037	689.672798799014	343.504559919608	20	5	22893333.3333333	61
20220909 045802	-0.750433568753775	237.139883513171	117.599000239748	16	5	20733333.3333333	62
20220909 045822	-0.776617545640893	1388.12057068666	693.803862163477	20	5	22493333.3333333	63
20220909 045843	-0.834768994044917	1028.07813182863	411.591086135239	20	5	23080000	64
20220909 045905	-0.954920469909824	986.367654064237	324.804853253951	20	5	23320000	65
20220909 045931	-0.999844100003536	1342.95509865207	26.7471667451793	20	5	21520000	66
20220909 045953	-0.916677215314431	838.798132328866	404.091506313528	20	5	22520000	67
20220909 050013	-0.966212472445853	1435.5794309068	392.32332150349	18	5	22240000	68
20220909 050026	-0.613908414335348	1181.98412581934	328.578037704432	5	5	22533333.3333333	69
20220909 050045	-0.694171566681103	983.032946748722	356.987052313481	12	5	22746666.6666667	70
20220909 050100	-0.97615168961354	2003.37273073572	999.713443249397	7	5	22213333.3333333	71
20220909 050116	-0.628581405325589	4977.6590582458	987.178889781932	14	5	20306666.6666667	72
20220909 050133	-0.969083067959758	4998.45395210197	999.925296662622	20	5	20693333.3333333	73
20220909 050152	-0.635416952532674	1351.25057114872	1.31668979807068	12	5	22200000	74
20220909 050208	-0.479951608770421	1271.27933238465	336.467075110383	8	5	23360000	75
20220909 050234	-0.803773893475669	1124.00702382645	236.465551976704	20	5	23200000	76
20220909 050244	-0.628532861847039	3696.92605020856	999.820015256339	3	5	20786666.6666667	77
20220909 050259	-0.440186206089919	1260.62656781165	341.297789785926	7	5	23173333.3333333	78
20220909 050320	-0.485651169354511	1440.03701614217	718.940510434194	7	5	22120000	79
20220909 050330	-0.471575526451311	4999.89344877924	315.878837593357	3	5	20080000	80
20220909 050344	-0.264774333292074	2855.82127977773	999.70921743463	8	5	21546666.6666667	81
20220909 050400	-0.532069364927959	1341.05619697755	333.537140974743	8	5	23266666.6666667	82
20220909 050415	-0.774224300789399	1090.27775952	1.36221589898129	8	5	21546666.6666667	83
20220909 050430	-0.316066500941908	1246.59532518927	319.173722835528	8	5	23080000	84
20220909 050446	-0.460095396951953	1205.23079133	325.055150413339	8	5	23040000	85
20220909 050500	-0.489284891323833	1380.7030868508	319.258945878231	6	5	22480000	86
20220909 050516	-0.42223643556507	1331.60452549168	397.915286317262	8	5	23040000	87
20220909 050534	-0.81954074140223	1811.82313098916	905.420506207081	10	5	22400000	88
20220909 050559	-0.954088956320603	352.162140713125	175.481383779602	20	5	22800000	89
20220909 050614	-0.554787819391446	1554.93674952948	387.944792328955	8	5	22506666.6666667	90
20220909 050630	-0.516781288587877	553.692586761675	274.560665553088	8	5	22053333.3333333	91
20220909 050650	-0.199342845598623	4998.76660734074	334.377472689685	14	5	20680000	92
