fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 044531	-0.35840734	1047.092535	11.06419854	10	5	21453333.33	16
20220910 050458	-0.837570367	1769.45519	242.9003396	10	5	21440000	104
20220910 050543	-0.895672568	1686.228684	287.3276049	10	5	21226666.67	107
20220910 050748	-0.820312785	1593.606987	283.1440318	9	5	21213333.33	116
20220910 050104	-0.862228373	1703.426919	279.2001459	8	5	21186666.67	87
20220910 050020	-0.6437037	1567.52527	260.4246297	9	5	21120000	83
20220910 050149	-0.671517917	1136.049981	299.2109109	9	5	21013333.33	90
20220910 045353	-0.32120211	1052.140269	2.313379014	8	5	20986666.67	53
20220910 045705	-0.390717441	1195.674182	273.7166026	9	5	20960000	68
20220910 045251	-0.351025277	737.3982282	365.7936243	10	5	20906666.67	48
20220910 045811	-0.361709942	1174.731743	211.9522638	9	5	20840000	73
20220910 045512	-0.77572846	636.5853236	317.3165155	20	5	20813333.33	59
20220910 050526	-0.704981142	1025.595304	290.4071471	9	5	20773333.33	106
20220910 050405	-0.864308384	1017.472567	272.9122153	20	5	20760000	100
20220910 050121	-0.690968025	1088.378776	325.0179425	20	5	20720000	88
20220910 044552	-0.288677118	1204.060687	27.96521685	8	5	20653333.33	18
20220910 050326	-0.053098156	2006.488922	993.6133817	20	5	20653333.33	97
20220910 050228	-0.38679313	927.2879001	1.075203761	10	5	20626666.67	93
20220910 050637	-0.054903131	2019.373248	999.1366929	14	5	20600000	111
20220910 045455	-0.752674627	1979.296777	988.1559321	20	5	20573333.33	58
20220910 044835	-0.368501737	1740.745474	866.3487576	8	5	20533333.33	30
20220910 045306	-0.489210266	1556.329038	652.5671654	12	5	20533333.33	49
20220910 050600	-0.51521223	1197.417871	425.3618681	17	5	20533333.33	108
20220910 045934	-0.77602423	1998.068492	997.6701852	5	5	20520000	80
20220910 050259	-0.747882163	1993.311327	995.6325947	9	5	20520000	95
20220910 045526	-0.759435802	951.0214686	469.85092	8	5	20506666.67	60
20220910 050734	-0.197668151	1912.526487	955.6670372	10	5	20480000	115
20220910 044316	-0.621833079	1182.510484	524.7177595	14	5	20453333.33	4
20220910 045440	-0.465168517	2024.04382	999.817817	20	5	20453333.33	57
20220910 045000	-0.635541869	2282.99644	995.0836845	7	5	20440000	37
20220910 050242	-0.472565283	2008.081547	997.6444802	8	5	20440000	94
20220910 045617	-0.551864811	1858.672378	926.3679128	12	5	20400000	64
20220910 050652	-0.508554072	1994.424584	997.0360053	20	5	20386666.67	112
20220910 044903	-0.310655312	1288.774012	638.547028	10	5	20360000	32
20220910 045055	-0.904891364	1385.222475	690.2845176	20	5	20360000	41
20220910 045826	-0.415832337	1071.077002	531.0018103	10	5	20346666.67	74
20220910 050007	-0.392777555	1737.114764	864.7118245	11	5	20346666.67	82
20220910 050430	-0.551094566	1789.026662	407.5415466	8	5	20346666.67	102
