fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 073459	-0.790032585	1423.190938	705.3523091	9	5	23493333.33	114
20220911 072842	-0.803003658	1631.245913	813.8311144	11	5	23413333.33	92
20220911 072156	-0.579865362	1560.449195	661.2594134	16	5	23373333.33	68
20220911 072216	-0.99959536	1495.766411	744.0275779	20	5	23293333.33	69
20220911 072338	-0.708222071	1628.465829	809.2760454	12	5	23293333.33	74
20220911 072751	-0.90119792	1579.111268	788.6471659	20	5	23293333.33	89
20220911 073003	-0.816404835	1628.600382	813.5398572	7	5	23293333.33	97
20220911 071420	-0.379543804	1418.008603	706.3373559	12	5	23253333.33	41
20220911 072900	-0.745070732	1445.421657	715.5692988	10	5	23253333.33	93
20220911 073419	-0.27296028	1368.155357	625.724092	11	5	23253333.33	112
20220911 071637	-0.856893345	1728.602171	863.6647769	9	5	23240000	50
20220911 073215	-0.80271254	1445.957352	722.4613261	20	5	23240000	105
20220911 073401	-0.847803605	1481.002737	740.0086139	12	5	23213333.33	111
20220911 071458	-0.532028798	1365.798641	675.0358566	15	5	23200000	43
20220911 072733	-0.999460558	1275.407041	637.211792	11	5	23200000	88
20220911 072809	-0.688732586	1423.067351	708.8895182	14	5	23200000	90
20220911 073315	-0.343859937	1560.463119	768.5680586	13	5	23200000	108
20220911 070452	-0.270564066	2009.952981	120.8633521	11	5	23186666.67	4
20220911 072826	-0.267634455	1916.826431	359.9983549	10	5	23186666.67	91
20220911 073531	-0.784403409	1596.958054	789.230422	13	5	23186666.67	116
20220911 072653	-0.721345177	1440.155255	716.8801642	16	5	23173333.33	86
20220911 072252	-0.99969818	1267.240163	625.1900852	15	5	23160000	71
20220911 072500	-0.564168448	1551.677786	595.6173677	13	5	23146666.67	78
20220911 073438	-0.605131864	1560.312797	774.6584373	15	5	23146666.67	113
20220911 073124	-0.650395648	1337.868237	667.4075637	11	5	23133333.33	102
20220911 072128	-0.883033812	1343.820956	669.3132471	7	5	23093333.33	66
20220911 071723	-0.705674157	1558.319559	771.8781958	20	5	23080000	53
20220911 073052	-0.826305068	1917.274898	956.4547525	11	5	23080000	100
