fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220909 051230	-0.581978369	1270.683891	346.0764781	20	5	23453333.33	110
20220909 051254	-0.587858124	1276.719357	345.9541425	13	5	23426666.67	111
20220909 050208	-0.479951609	1271.279332	336.4670751	8	5	23360000	75
20220909 045905	-0.95492047	986.3676541	324.8048533	20	5	23320000	65
20220909 050400	-0.532069365	1341.056197	333.537141	8	5	23266666.67	82
20220909 044545	-0.597270501	1335.071194	352.1002065	8	5	23253333.33	16
20220909 050234	-0.803773893	1124.007024	236.465552	20	5	23200000	76
20220909 050259	-0.440186206	1260.626568	341.2977898	7	5	23173333.33	78
20220909 050757	-0.333304669	987.9730617	355.8518859	9	5	23173333.33	95
20220909 044234	-0.312263767	715.2890805	322.7714647	9	5	23146666.67	3
20220909 050740	-0.999979024	1120.048435	238.2731014	20	5	23120000	94
20220909 045843	-0.834768994	1028.078132	411.5910861	20	5	23080000	64
20220909 050430	-0.316066501	1246.595325	319.1737228	8	5	23080000	84
20220909 050446	-0.460095397	1205.230791	325.0551504	8	5	23040000	85
20220909 050516	-0.422236436	1331.604525	397.9152863	8	5	23040000	87
20220909 045547	-0.660653004	1215.379414	315.6578283	11	5	23026666.67	54
20220909 051001	-0.577757086	1255.343488	226.3687037	10	5	23026666.67	102
20220909 050858	-0.853260112	1192.669153	241.7663692	20	5	22906666.67	98
20220909 044400	-0.696871869	1080.688923	81.64680442	12	5	22893333.33	9
20220909 045738	-0.769118643	689.6727988	343.5045599	20	5	22893333.33	61
20220909 050559	-0.954088956	352.1621407	175.4813838	20	5	22800000	89
20220909 044906	-0.322506487	1662.366445	829.5725086	8	5	22773333.33	29
20220909 045116	-0.633642354	1052.292756	522.7829718	12	5	22773333.33	37
20220909 050944	-0.315731783	1264.869426	619.3948316	11	5	22760000	101
20220909 050045	-0.694171567	983.0329467	356.9870523	12	5	22746666.67	70
20220909 045220	-0.342584383	1108.511266	460.6939152	7	5	22733333.33	41
20220909 045257	-0.71489777	1018.6255	509.0901481	14	5	22706666.67	43
20220909 045515	-0.600447399	989.8700581	489.0888913	9	5	22706666.67	52
20220909 050710	-0.827417968	1297.259884	560.1790833	20	5	22680000	93
20220909 050835	-0.806837149	803.7262043	380.4426831	20	5	22653333.33	97
20220909 045042	-0.284522372	922.2519232	460.8101226	7	5	22640000	35
20220909 045401	-0.560273359	744.5165396	370.4443824	7	5	22640000	47
20220909 051209	-0.746115407	1078.021037	176.0688694	20	5	22640000	109
20220909 050026	-0.613908414	1181.984126	328.5780377	5	5	22533333.33	69
20220909 045953	-0.916677215	838.7981323	404.0915063	20	5	22520000	67
20220909 050614	-0.554787819	1554.93675	387.9447923	8	5	22506666.67	90
20220909 045822	-0.776617546	1388.120571	693.8038622	20	5	22493333.33	63
20220909 050916	-0.299900309	2322.978642	862.3367656	20	5	22493333.33	99
20220909 050500	-0.489284891	1380.703087	319.2589459	6	5	22480000	86
20220909 044851	-0.758383359	940.3433087	465.1496228	10	5	22453333.33	28
20220909 045127	-0.999673724	2004.847923	999.8298806	3	5	22453333.33	38
20220909 050534	-0.819540741	1811.823131	905.4205062	10	5	22400000	88
20220909 044938	-0.999829512	1473.003304	440.5315216	10	5	22386666.67	31
20220909 045529	-0.574516751	1915.16553	159.4437107	7	5	22386666.67	53
20220909 045027	-0.958008508	1883.871507	938.9971766	13	5	22373333.33	34
20220909 044332	-0.59903547	2550.077837	551.4839712	5	5	22360000	7
20220909 045317	-0.999981912	1431.122283	713.6994215	20	5	22320000	44
20220909 051329	-0.676374369	2378.414007	70.4588207	8	5	22320000	113
20220909 045202	-0.808115687	1852.311588	921.1645828	17	5	22280000	40
20220909 045237	-0.305832285	1869.416543	497.5839847	10	5	22253333.33	42
20220909 050013	-0.966212472	1435.579431	392.3233215	18	5	22240000	68
20220909 051121	-0.267626847	1981.087494	988.8640307	16	5	22240000	106
20220909 050100	-0.97615169	2003.372731	999.7134432	7	5	22213333.33	71
20220909 050152	-0.635416953	1351.250571	1.316689798	12	5	22200000	74
20220909 051018	-0.323914319	2292.904445	796.4886554	9	5	22160000	103
20220909 045619	-0.772191284	1999.249724	999.4672615	3	5	22146666.67	56
20220909 050320	-0.485651169	1440.037016	718.9405104	7	5	22120000	79
20220909 050813	-0.999991908	2779.486372	813.3511981	10	5	22120000	96
20220909 045143	-0.571010837	2009.691938	999.9098272	9	5	22080000	39
20220909 050630	-0.516781289	553.6925868	274.5606656	8	5	22053333.33	91
20220909 044721	-0.677475236	1766.976962	881.3666816	9	5	22040000	22
20220909 051314	-0.545392786	2206.105826	512.1788198	20	5	21973333.33	112
20220909 045447	-0.796156661	1956.870723	285.0898135	13	5	21933333.33	50
20220909 045056	-0.70497904	1894.72049	284.1876245	8	5	21920000	36
20220909 045346	-0.99997709	3268.815591	999.5088006	17	5	21920000	46
20220909 045647	-0.747539789	2358.896222	989.6360527	13	5	21920000	58
20220909 051042	-0.611426824	2698.492137	126.4517401	20	5	21893333.33	104
20220909 045717	-0.914349432	1819.728091	908.8046517	3	5	21880000	60
20220909 045427	-0.132530199	3477.05823	999.4956171	20	5	21746666.67	49
20220909 051429	-0.999964554	2948.837521	98.7462369	13	5	21746666.67	116
20220909 051404	-0.999921942	2357.685474	550.1314826	3	5	21693333.33	115
20220909 044251	-0.219489651	2250.542393	571.3382215	13	5	21680000	4
20220909 044416	-0.932245475	2856.461936	777.1369583	20	5	21653333.33	10
20220909 051136	-0.818842429	3071.991652	980.1471694	3	5	21640000	107
20220909 050926	-0.999905508	3369.733636	367.4896576	3	5	21613333.33	100
20220909 044647	-0.303476284	2932.933197	574.4275634	4	5	21560000	20
20220909 050344	-0.264774333	2855.82128	999.7092174	8	5	21546666.67	81
20220909 050415	-0.774224301	1090.27776	1.362215899	8	5	21546666.67	83
20220909 045931	-0.9998441	1342.955099	26.74716675	20	5	21520000	66
20220909 045008	-0.950664054	1857.133558	173.0810067	3	5	21426666.67	33
20220909 044834	-0.467185937	1348.139495	672.3821363	3	5	21400000	27
20220909 051103	-0.234467472	2904.575776	365.3435619	20	5	21200000	105
20220909 045458	-0.999731899	888.0824077	439.6494357	3	5	21160000	51
20220909 044608	-0.82450425	551.9324951	275.4850907	3	5	21133333.33	18
20220909 044220	-0.504006302	3420.588429	480.603555	11	5	21120000	2
20220909 044557	-0.173138829	4997.067979	998.7526432	6	5	21106666.67	17
20220909 044921	-0.153315846	3171.123241	598.7407296	9	5	21093333.33	30
20220909 044531	-0.459230104	3319.374664	485.0760064	11	5	21080000	15
20220909 044444	-0.157650449	3944.172809	58.32365977	18	5	2.10E+07	12
20220909 044305	-0.404388083	4415.853262	233.7365985	9	5	20840000	5
20220909 044705	-0.109255439	4997.600889	856.6677642	13	5	20826666.67	21
20220909 045329	-0.45450369	4997.840612	992.8181461	5	5	20786666.67	45
20220909 045410	-0.999681628	4999.045529	675.1068289	3	5	20786666.67	48
20220909 050244	-0.628532862	3696.92605	999.8200153	3	5	20786666.67	77
20220909 044744	-0.866988151	615.3707485	3.133926603	15	5	20746666.67	23
20220909 045802	-0.750433569	237.1398835	117.5990002	16	5	20733333.33	62
20220909 050133	-0.969083068	4998.453952	999.9252967	20	5	20693333.33	73
20220909 045609	-0.198711882	4114.541498	701.0997666	17	5	20680000	55
20220909 045629	-0.121499871	3982.737232	999.872349	3	5	20680000	57
20220909 050650	-0.199342846	4998.766607	334.3774727	14	5	20680000	92
20220909 044809	-0.657385533	8.218845908	1.949867737	3	5	20600000	25
