fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 232824	-0.341255357	1586.10924	789.1324756	20	5	23386666.67	112
20220911 230626	-0.465319456	469.0382833	158.7549783	5	5	23226666.67	34
20220911 232611	-0.756241549	1812.206278	904.2079571	11	5	23200000	104
20220911 231718	-0.664176692	1828.195103	912.6243743	17	5	23173333.33	73
20220911 230449	-0.5012138	723.7430866	160.0056641	5	5	23160000	27
20220911 231527	-0.407646624	689.6329778	197.6771949	5	5	23160000	66
20220911 231300	-0.913071082	2005.879583	998.1302687	20	5	23146666.67	57
20220911 232649	-0.7742064	1844.472376	919.6187597	20	5	23146666.67	106
20220911 232910	-0.323595731	1929.657243	963.885124	20	5	23146666.67	114
20220911 232553	-0.19500663	1991.290889	992.542304	14	5	23133333.33	103
20220911 231030	-0.999724685	1724.99475	858.9138462	20	5	23120000	49
20220911 231834	-0.880310808	2071.007013	835.7358071	12	5	23120000	77
20220911 232948	-0.462175201	1556.593692	776.5979619	20	5	23093333.33	116
20220911 230438	-0.477927819	858.6613172	191.9945608	6	5	23080000	26
20220911 231145	-0.809099289	2134.499962	999.8758804	17	5	23080000	53
20220911 230112	-0.472185668	661.9111913	93.62530638	7	5	23066666.67	11
20220911 232110	-0.690828003	2011.967058	999.0828405	12	5	23066666.67	86
20220911 232926	-0.356573971	673.7317808	155.3873336	5	5	23066666.67	115
20220911 232226	-0.197108172	1799.242522	898.3194688	17	5	23053333.33	90
20220911 232148	-0.804428277	1973.069916	760.799347	13	5	23040000	88
20220911 230709	-0.191161859	1959.9205	938.4656585	10	5	23026666.67	37
20220911 231504	-0.942538213	1647.283793	733.9644849	17	5	23026666.67	64
20220911 232417	-0.364557624	1964.12429	981.1691255	16	5	23026666.67	97
20220911 231444	-0.462718028	2001.955661	999.1656705	18	5	2.30E+07	63
20220911 232504	-0.91714961	1970.454677	983.7297402	14	5	22960000	100
20220911 232850	-0.547615791	1805.486765	160.8096062	20	5	22960000	113
20220911 231934	-0.870714994	1721.21533	858.6158394	18	5	22920000	80
20220911 232631	-0.958736438	1992.03051	995.9566293	20	5	22893333.33	105
20220911 225849	-0.522350499	4121.195495	451.3724484	9	5	22853333.33	1
20220911 230052	-0.701230985	3954.992484	554.1948631	9	5	22853333.33	9
20220911 232706	-0.890675877	3782.308556	133.0592154	9	5	22853333.33	107
20220911 230038	-0.104852797	2844.642702	167.8005966	11	5	22840000	8
20220911 225859	-0.360156152	1873.693514	375.7107111	5	5	22826666.67	2
20220911 231815	-0.607111107	1990.44267	992.3157797	20	5	22826666.67	76
20220911 231357	-0.722549895	1365.796475	682.6658472	20	5	22813333.33	60
20220911 231852	-0.074034485	3972.582662	868.903542	20	5	22813333.33	78
20220911 230843	-0.191674669	3112.448464	85.53471555	10	5	22786666.67	43
20220911 232051	-0.84194532	4657.024923	163.7663743	11	5	22786666.67	85
20220911 232129	-0.702128618	2176.526657	994.6276536	18	5	22786666.67	87
20220911 230504	-0.52136916	722.5032135	352.3731687	7	5	22773333.33	28
20220911 230556	-0.565289068	2446.811866	847.7534653	14	5	22773333.33	32
20220911 231755	-0.446363428	1464.136904	731.3660983	11	5	22773333.33	75
20220911 231318	-0.99895778	2782.753542	999.489213	16	5	22760000	58
20220911 230147	-0.413906608	4814.757751	883.947895	16	5	22746666.67	13
20220911 230403	-0.665614014	3875.594654	945.6106334	20	5	22746666.67	23
20220911 230101	-0.207859421	3147.514201	960.5082923	4	5	22720000	10
20220911 230225	-0.465539943	4385.823509	509.7970524	17	5	22720000	16
20220911 230305	-0.458278776	4106.138785	853.4817761	10	5	22706666.67	19
20220911 230726	-0.1795999	4023.475442	998.0866895	12	5	22693333.33	38
20220911 231242	-0.731450835	3418.986169	999.9816017	14	5	22693333.33	56
20220911 232309	-0.201864477	4446.697499	700.9763409	7	5	22693333.33	93
20220911 232753	-0.507586671	1988.921771	993.7733445	5	5	22693333.33	110
20220911 230514	-0.491508112	736.3957375	94.78298939	3	5	22680000	29
20220911 230334	-0.453740483	2762.451193	857.5556541	3	5	22666666.67	21
20220911 231048	-0.12124858	2564.606236	999.7675147	20	5	22666666.67	50
20220911 231658	-0.224648993	3007.195342	993.8387566	10	5	22653333.33	72
20220911 230023	-0.005438522	4627.194052	735.6599772	20	5	22640000	7
20220911 231737	-0.507177962	3611.902125	849.280459	17	5	22640000	74
20220911 232338	-0.650394328	1871.966975	933.7867927	4	5	22640000	95
20220911 231415	-0.580101793	3928.476557	140.7230391	12	5	22613333.33	61
20220911 231538	-0.300630172	2004.440906	998.4194381	4	5	22600000	67
20220911 231547	-0.249881421	3554.196142	485.455875	3	5	22600000	68
