fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion				
20220925 020157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1444	TRUE	763381	0.005201496	0.750240992	1968	1024	8282	26960000	24				
20220925 021039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1270	TRUE	763381	0.005001735	0.785818548	2073	977	8090	26860000	26				
20220925 050905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1900	TRUE	763381	0.005231933	0.305670587	2002	1024	8170	26860000	79				
20220925 033547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1355	TRUE	763381	0.005245226	0.774324192	2029	227	8659	26850000	47				
20220925 022714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1185	TRUE	763381	0.005215916	0.760095262	1953	473	8280	26800000	30				
20220925 033109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1532	TRUE	763381	0.005175282	0.773715497	2006	271	9500	26760000	46				
20220925 030519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1074	TRUE	763381	0.005325465	0.774646627	1911	875	8311	26740000	39				
20220925 035906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	681	TRUE	763381	0.010101983	0.860956414	2031	43	8913	26740000	53				
20220925 030909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1061	TRUE	763381	0.006104367	0.739225828	2030	34	8225	26670000	40				
20220925 031355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1369	TRUE	763381	0.005211891	0.994163413	1961	249	8229	26670000	41				
20220925 022252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1884	TRUE	763381	0.005386328	0.793188334	1512	1005	8312	26660000	29				z
