fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 032114	binary	custom	TRUE	TRUE	FALSE	-100	31	506	TRUE	763381	0.027626997	0.551258816	2196	387	9487	0.940588589	413	2.377045872	50.9789243	0.395834823	4	27510000	78
20220929 033412	binary	custom	TRUE	TRUE	FALSE	-100	31	799	TRUE	763381	0.018427192	0.680102277	3454	323	8748	0.955180227	779	0.034509293	68.46014603	0.068345913	16	27070000	99
20220929 040508	binary	custom	TRUE	TRUE	FALSE	-100	31	178	TRUE	763381	0.059395956	0.447499629	2844	380	9318	0.885466819	9	0.134046294	14.80251253	0.002800998	9	26890000	142
20220929 031634	binary	custom	TRUE	TRUE	FALSE	-100	31	158	TRUE	763381	0.051531819	0.647707705	2302	803	9242	0.816890064	64	2.068527041	33.1301091	0.044520679	21	26880000	74
20220929 035341	binary	custom	TRUE	TRUE	FALSE	-100	31	390	TRUE	763381	0.023068652	0.262933859	2307	302	9164	0.948842284	229	1.752936992	52.21615224	0.194344437	6	26800000	121
20220929 033618	binary	custom	TRUE	TRUE	FALSE	-100	31	499	TRUE	763381	0.088005178	0.691270191	6406	284	10809	0.863605872	951	1.489258592	52.51799898	0.19221706	27	26790000	101
20220929 034302	binary	custom	TRUE	TRUE	FALSE	-100	31	166	TRUE	763381	0.097444274	0.365824299	846	927	9229	0.727670602	56	0.865043195	40.19190044	0.040803679	6	26750000	108
20220929 031532	binary	custom	TRUE	TRUE	FALSE	-100	31	1214	TRUE	763381	0.020084701	0.614566826	4900	744	8870	0.791414843	740	1.318885179	48.38165592	0.056271891	15	26740000	72
20220929 024114	binary	custom	TRUE	TRUE	FALSE	-100	31	244	TRUE	763381	0.050820826	0.573432782	3806	310	7440	0.960516124	184	3.907142097	23.99906301	0.095458075	4	26720000	48
20220929 035223	binary	custom	TRUE	TRUE	FALSE	-100	31	193	TRUE	763381	0.085910109	0.873704678	3904	107	9649	0.83544271	29	2.519175693	27.81384872	0.052721661	22	26710000	120
20220929 040424	binary	custom	TRUE	TRUE	FALSE	-100	31	164	TRUE	763381	0.043380147	0.458583476	3528	137	8402	0.743973705	13	0.09806039	39.58757731	0.300182188	4	26560000	141
20220929 025945	binary	custom	TRUE	TRUE	FALSE	-100	31	578	TRUE	763381	0.022142457	0.692612388	2260	624	9928	0.86886198	711	0.306491274	73.62266945	0.075528196	15	26550000	62
20220929 035718	binary	custom	TRUE	TRUE	FALSE	-100	31	78	TRUE	763381	0.191188992	0.517739935	6391	377	8773	0.958535779	845	0.05760053	25.84601324	0.437886159	21	26540000	128
20220929 025034	binary	custom	TRUE	TRUE	FALSE	-100	31	1389	TRUE	763381	0.009246148	0.726270839	2728	708	9616	0.949502687	301	0.841006314	64.81697204	1.75786476	7	26530000	57
20220929 033702	binary	custom	TRUE	TRUE	FALSE	-100	31	289	TRUE	763381	0.079425013	0.589799219	229	777	9643	0.79773037	956	11.32612535	89.50933884	0.068518475	15	26480000	102
20220929 035458	binary	custom	TRUE	TRUE	FALSE	-100	31	102	TRUE	763381	0.105074915	0.840037241	2292	752	8179	0.606447995	20	0.052338234	30.28935692	0.497312721	2	26450000	124
20220929 033726	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	763381	0.086153335	0.602173945	222	930	9263	0.642744524	201	5.338187025	43.57492277	0.029207684	9	26440000	103
