fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 141116	binary	custom	TRUE	TRUE	FALSE	-100	31	20	TRUE	763381	0.146301696539158	0.376328064523092	5395	455	5921	0.672474683249114	396	63.5465577727668	45.9681344920981	11.1484358862542	14	20080000	1
20220929 141141	binary	custom	TRUE	TRUE	FALSE	-100	31	45	TRUE	763381	0.082664941335732	0.808067908631209	2517	668	8283	0.462508356525839	636	81.2756644413803	97.3256130046757	7.95723723969228	15	21440000	2
20220929 141152	binary	custom	TRUE	TRUE	FALSE	-100	31	37	TRUE	763381	0.059687436999044	0.756797119496364	4323	566	7659	0.649659944789606	356	74.8794126941208	48.8517670951928	4.88202692385176	17	21250000	3
20220929 141204	binary	custom	TRUE	TRUE	FALSE	-100	31	35	TRUE	763381	0.135944324097919	0.486076555023473	3761	97	12261	0.635657740177082	512	50.6915448902884	63.0033428028376	5.36700137722794	14	21320000	4
20220929 141213	binary	custom	TRUE	TRUE	FALSE	-100	31	30	TRUE	763381	0.157763574375951	0.450821391127538	5104	538	10205	0.40094717464465	126	53.6524839868369	16.4655444410005	7.15612350925571	16	21350000	5
20220929 141218	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	763381	0.235271380537623	0.923670342821146	4455	682	11362	0.105948427248224	975	66.5952750856478	43.9136817803813	3.99512074370448	12	-8e+06	6
20220929 141306	binary	custom	TRUE	TRUE	FALSE	-100	31	135	TRUE	763381	0.0390168341106619	0.328754810267012	5958	387	12311	0.777682931756994	307	27.9354195087976	66.7437871866094	8.69769899222956	9	22100000	7
20220929 141340	binary	custom	TRUE	TRUE	FALSE	-100	31	130	TRUE	763381	0.0300978066832282	0.544729731858417	2085	755	5546	0.723920281227752	872	35.511621056745	38.0317963716577	10.5507904408653	10	21150000	8
20220929 141346	binary	custom	TRUE	TRUE	FALSE	-100	31	12	TRUE	763381	0.266576083234818	0.740112978639944	6162	651	11788	0.605306685228263	778	90.5458663411944	50.8395877813521	14.6217118513314	8	20750000	9
20220929 141358	binary	custom	TRUE	TRUE	FALSE	-100	31	36	TRUE	763381	0.172822195287127	0.644596227928112	6926	917	7740	0.947770074235875	256	59.6508278074173	64.468650092657	3.03603052067476	14	23080000	10
