Feature	Gain	Cover	Frequency
vabs_fe_01	0.113203095787897	0.0180169850222804	0.0215393432288383
pesos_fe_suma_menos_tarjetas	0.0409206654508887	0.0132018531989583	0.0206407243968136
ctrx_quarter	0.0290784255689223	0.0187352123561814	0.0255051865436415
ranked_mcuentas_saldo	0.0242403755838883	0.0192288558092842	0.0255166485185397
ranked_mtarjeta_visa_consumo	0.0239483367350352	0.0150903074614998	0.0171035589432059
ranked_mpasivos_margen	0.023062858957049	0.0149668843475126	0.0223027107570634
mpayroll	0.020600784529689	0.0193773367942524	0.0121428162072325
cpayroll_trx	0.0192523119251131	0.0104786826864358	0.00546736202647716
cliente_edad	0.0176076105277185	0.0159228622726952	0.0190979425755058
numero_de_cliente	0.0165546195958269	0.0186417010517103	0.0171310676829618
ranked_mcuenta_corriente	0.0164861523780032	0.011970768573156	0.011269413719984
mrentabilidad_annual	0.0163191346978095	0.0111054462082746	0.0140592584102241
Visa_Fvencimiento	0.0155188548995311	0.0118613174694346	0.0150954209410281
suma_fe_01	0.0153916102756629	0.0127509296004459	0.0219198807954611
mactivos_margen	0.0145479485756604	0.0176621385881033	0.014863889048083
Visa_fechaalta	0.0143375293406129	0.0121462560302286	0.0141692933692475
mrentabilidad	0.0141538423205651	0.00915489471272567	0.0118723135996332
Master_fechaalta	0.0133394125324562	0.013329944276824	0.0141670009742679
Visa_mpagominimo	0.0129600002731385	0.0123252194421908	0.0194991116969454
ctarjeta_visa	0.0127576621768124	0.00222255507618567	0.00111181156513267
cliente_antiguedad	0.0127469912220091	0.0121643271580822	0.0136512121038455
Master_Fvencimiento	0.012616256254249	0.0149321788198265	0.0129680783999083
mcomisiones_mantenimiento	0.0124947972623817	0.0135333432826626	0.0125600320935297
cociente_fe_02	0.0119268075583638	0.0176668036000031	0.01395380824116
ctarjeta_visa_transacciones	0.0117897888778515	0.011542625689275	0.0152054559000516
cociente_fe_14	0.0113004459454554	0.0112065559058546	0.0132706745372228
Visa_msaldototal	0.0112200800251091	0.0131182705795621	0.0165235830133532
cociente_fe_13	0.0110046657694271	0.00970240351110327	0.0152788125394005
cociente_fe_01	0.0109583956607293	0.0133781353286902	0.0129841251647659
cociente_fe_09	0.0108076728749387	0.00833159169789497	0.0128213651212104
cociente_fe_07	0.0106608980793598	0.00866959414175369	0.0110608057768354
cociente_fe_08	0.0106232053918859	0.0100738185159885	0.0136833056335607
ranked_chomebanking_transacciones	0.0105489569023387	0.0112499340516894	0.0115559630924408
cociente_fe_03	0.0103517093722718	0.00888598008257421	0.0142541119834948
Master_mlimitecompra	0.0103106826984587	0.00951665084338693	0.0114436357384377
cociente_fe_10	0.0102516795445038	0.00865782932594312	0.0104968766118402
cociente_fe_16	0.0100972710697982	0.00948334307760338	0.014730930139263
cociente_fe_15	0.0100536858245533	0.00810426306732481	0.0137612470628689
prod_fe_01	0.00972626302725126	0.00870549817278173	0.0157625078801077
visa_fe_suma_all	0.00969425621507581	0.00867510105797153	0.0118081265402029
Visa_mfinanciacion_limite	0.00968194584274985	0.00918053678028649	0.0109828643475271
mprestamos_personales	0.00951996016826331	0.0132268098170709	0.00384893117084074
Visa_mpagospesos	0.00937306752731404	0.00967753131958084	0.0139217147114448
cociente_fe_06	0.00933739929845317	0.00978412431754936	0.0150977133360078
cociente_fe_12	0.00925834239286774	0.00802141903299297	0.0135847326494355
ranked_mcaja_ahorro	0.00912803412017863	0.0098369334448544	0.0174542953750931
cociente_fe_05	0.00899495591076595	0.00768150872531672	0.0152031635050719
ranked_mcomisiones	0.00883301739686102	0.0084246126787082	0.00950426958564961
cociente_fe_11	0.00827409069829161	0.0105048440070455	0.0146392343400768
mtransferencias_recibidas	0.00807799919366033	0.0071719496791888	0.0111914722906757
ranked_mcomisiones_otras	0.00805488252494926	0.00719725758276364	0.00958908819989684
Visa_cconsumos	0.00749031707627429	0.00646897108633034	0.00980915811794372
ranked_Visa_mconsumospesos	0.0073823056735759	0.00584800406981743	0.010072783540604
cociente_fe_04	0.00726567125520142	0.0126201711146497	0.015574531491776
ranked_ccomisiones_otras	0.00707251021089919	0.00995268938462951	0.011003495902344
ranked_Visa_msaldopesos	0.0069414637182984	0.00545295050529797	0.0115445011175426
ranked_mcaja_ahorro_dolares	0.00657753627153155	0.0061223769085386	0.00810132385810075
Master_status	0.00629983063180677	0.00514888814105495	0.00102011576594647
cproductos	0.00589713272957767	0.00797670777358864	0.00740902057424494
Visa_status	0.00565219383722952	0.00871825662461424	0.00183620837870365
cdescubierto_preacordado	0.0055483342959517	0.00595076303788311	0.00183162358874434
mttarjeta_visa_debitos_automaticos	0.00538096006182388	0.00543890380997178	0.00605192274628919
mtransferencias_emitidas	0.00529288021017573	0.00971957900862689	0.0126517278927159
ctarjeta_debito_transacciones	0.00511061392260281	0.0101861460277307	0.0131698091581179
ranked_mcuenta_debitos_automaticos	0.00495637773983579	0.00692314304217651	0.00586394635795748
mautoservicio	0.00471732471315677	0.00827228998869256	0.0126288039429194
Visa_mlimitecompra	0.00465878890428895	0.00537225580663925	0.00506848530001719
cprestamos_personales	0.00462041287858641	0.0121592417844191	0.00323915410625251
ctransferencias_recibidas	0.00460642892709276	0.00713471696255923	0.00732420195999771
ccajas_consultas	0.0040221580944064	0.00750247446586637	0.00137314459281334
ccallcenter_transacciones	0.00356510213860027	0.0112992371139224	0.00376869734655281
Visa_mconsumosdolares	0.00338739499459036	0.00915642619926216	0.00597398131698092
ctarjeta_debito	0.00336592303605385	0.00605249914533797	0.00316579746690355
ranked_Master_mfinanciacion_limite	0.00311440378305008	0.00310303585156226	0.00354404263854662
ccaja_seguridad	0.00307376788345828	0.00600348832899379	0.000726689208550633
mpagomiscuentas	0.00302006445150113	0.0041586657872553	0.00440827554587655
ctransferencias_emitidas	0.00294733916589152	0.00426114107017033	0.00501117542552582
cmobile_app_trx	0.00294057939445333	0.00206921277273575	0.00223737750014327
master_fe_suma_all	0.002862096790604	0.00667207873187372	0.00310161040747321
thomebanking	0.00284799062321811	0.00204061459372998	0.00171471144478194
Master_mpagospesos	0.00280760214439361	0.00814583076463834	0.00339274456988939
internet	0.00273268364935064	0.00704422553227243	0.00151068829159264
ranked_Visa_mconsumototal	0.00271508493769304	0.00212017071421383	0.00362886125279386
ccomisiones_mantenimiento	0.00262083877523773	0.00731081134644734	0.00420195999770761
ctarjeta_visa_debitos_automaticos	0.00252965375942281	0.00331435590177895	0.00258811393203049
mextraccion_autoservicio	0.00250158442715128	0.00552874462415865	0.0066571150209181
ccajas_transacciones	0.00234271628757728	0.000894742965146041	0.000724396813570978
Master_mconsumospesos	0.0023378144373401	0.00318440183017164	0.00258352914207118
tarjetas_fe_suma_all	0.00232635734370343	0.00468663868596091	0.00290217204424322
cextraccion_autoservicio	0.00231148167665461	0.00853648470014087	0.00639119720327813
Master_msaldototal	0.0022669804187373	0.00561379319616484	0.00304659292796149
Master_mpagominimo	0.00222552438577345	0.00567416529283473	0.00298928305347011
cpagomiscuentas	0.00204093301114803	0.00338684173813878	0.00296865149865322
Master_msaldopesos	0.00195008428398242	0.0032031536843076	0.0027096108659522
ranked_ccuenta_debitos_automaticos	0.00170312409217239	0.00748876901927499	0.00261333027680669
matm	0.00161759193412787	0.00300233529822653	0.00447017021032724
matm_other	0.00159288710385573	0.00262005258385	0.00218923720557052
mtarjeta_master_consumo	0.00156556776309581	0.00338055992751879	0.00151068829159264
ccaja_ahorro	0.00153185855411937	0.00489998438394425	0.00192790417788985
ranked_Visa_fultimo_cierre	0.00149072276631046	0.00175931050908036	0.00170783425984297
tmobile_app	0.00148808766489289	0.00361664471723415	0.000696888073815118
Master_mconsumototal	0.00143055819427495	0.00183497680726442	0.00119892257435956
tcallcenter	0.00141650517141673	0.0021782128141157	0.0016963722849447
ranked_Master_fultimo_cierre	0.0013693390455519	0.00120746259724866	0.0016298928305347
catm_trx	0.00131333391489706	0.0046735516789019	0.00336982062009284
ctarjeta_master	0.00120937796240511	0.000494173333274841	0.000419508281276864
Visa_msaldodolares	0.0010780364424048	0.00584343706360964	0.00212505014614018
ctarjeta_master_transacciones	0.000947710264567082	0.00364136340586549	0.00115536706974612
Master_cconsumos	0.000944509455580138	0.00135080979610357	0.00134334345807783
mttarjeta_master_debitos_automaticos	0.000823520496021362	0.00284213495791929	0.000882572067167173
ranked_Visa_mpagado	0.00076847417877782	0.00253457154696796	0.00108888761533612
ranked_Visa_mpagosdolares	0.00066983489079483	0.00090901578203872	0.00127686400366783
catm_trx_other	0.000656014344157148	0.00146470864609435	0.00114848988480715
mplazo_fijo_dolares	0.000572332631279382	0.00313309880238647	0.000997191816149923
mcaja_ahorro_adicional	0.000565845990653515	0.00489579641179831	0.000735858788469253
mtarjeta_visa_descuentos	0.000550002689860209	0.00465313225201254	0.000621239039486504
active_quarter	0.000541737595972678	0.0020778177905728	0.000605192274628919
ranked_Visa_Finiciomora	0.000425770920658374	0.00476462789616418	0.000485987735686859
cseguro_accidentes_personales	0.000424703023112501	0.00125796947638523	0.000566221559974784
ccajas_depositos	0.000412392924943221	0.00226930910483296	0.000396584331480314
ccajas_extracciones	0.000395282499316494	0.00688371080623634	0.000554759585076509
ccheques_depositados	0.000386356107388803	0.00307359783462351	0.000357613616826179
cseguro_vivienda	0.000375174577737132	0.000484955484664896	0.000403461516419279
ranked_ccajas_otras	0.000358564391701263	0.00217416919372695	0.000327812482090664
cseguro_vida	0.000353318354121928	0.00239070804704283	0.000401169121439624
mcheques_depositados	0.00034298091644893	0.00234035526119309	0.000440139836093759
tcuentas	0.000331532300306576	0.00304028180329967	0.000366783196744799
Master_mpagado	0.000323774623899566	0.0014665509759853	0.000449309416012379
Master_mpagosdolares	0.000309615038732453	0.00316278862310619	0.000364490801765144
ctarjeta_master_debitos_automaticos	0.000303353818050073	0.000818067090255198	0.000295718952375494
minversion2	0.000241861835550333	0.0040300005495374	0.000281964582497564
Master_msaldodolares	0.000227944857502005	0.00144282238100149	0.000371367986704109
Visa_madelantopesos	0.000224945809605967	0.000421178280593612	0.000460771390910654
Master_mconsumosdolares	0.000206203365710856	0.000356859388435502	0.000359906011805834
ccajeros_propios_descuentos	0.000203919072929405	0.00145737238869173	0.000731273998509943
mcajeros_propios_descuentos	0.000183054290986053	0.00234953561967386	0.000848186142472348
mforex_buy	0.000169478249942584	0.00136532467524758	0.000204023153189295
mcheques_emitidos	0.000152078084496136	0.00114164675670456	0.000135251303799645
mforex_sell	0.000151446645516702	0.00254412326436602	0.000281964582497564
Master_delinquency	0.000146673163226276	0.00115558659040272	0.000332397272049974
Visa_cadelantosefectivo	0.000144626580179126	0.000581195303025138	0.000135251303799645
ctarjeta_visa_descuentos	0.000100101664393107	0.000114282312020647	9.16957991861998e-05
cforex_buy	9.7380936800119e-05	0.000836113716685748	0.000121496933921715
cplazo_fijo	9.52203670805136e-05	0.0002751559986636	0.00016963722849447
Master_madelantopesos	8.51631698427916e-05	3.6731175452725e-05	4.81402945727549e-05
ccheques_emitidos	8.42073889070844e-05	0.00134111963090565	0.00011920453894206
Master_cadelantosefectivo	7.7984201560733e-05	2.57669362587661e-05	2.52163447762049e-05
minversion1_pesos	7.62918023360723e-05	0.00120185649454734	0.00017880680841309
cinversion1	7.09013142822884e-05	0.00293131748086168	0.000185683993352055
ranked_Master_Finiciomora	6.10382573811671e-05	0.00158787375714536	0.000144420883718265
Visa_delinquency	5.44274306819681e-05	0.000494528161111552	0.000479110550747894
cseguro_auto	4.54930306520981e-05	0.000402208570431451	7.56490343286148e-05
cforex	4.30351529205332e-05	0.000411378596986864	0.000316350507192389
cinversion2	3.43634762293072e-05	0.000408593109909318	5.04326895524099e-05
mprestamos_prendarios	1.99726005784826e-05	0.000749128941866754	7.56490343286148e-05
cprestamos_prendarios	1.86253614583642e-05	0.000368078383389097	5.96022694710299e-05
mpagodeservicios	1.44321020453617e-05	4.86114136294757e-05	6.87718493896498e-06
Master_madelantodolares	1.31970727746925e-05	1.96867457822712e-06	1.1461974898275e-05
ctarjeta_master_descuentos	1.22451268725712e-05	0.000175171300156502	1.375436987793e-05
cforex_sell	9.68115689258087e-06	8.02495402745605e-05	2.29239497965499e-05
mprestamos_hipotecarios	7.83058993866162e-06	1.31256779796508e-05	9.16957991861998e-06
mtarjeta_master_descuentos	7.16825552602287e-06	7.40025630029392e-05	1.6046764857585e-05
cprestamos_hipotecarios	1.48081226291886e-06	2.41324256665268e-06	2.29239497965499e-06
ranked_Visa_madelantodolares	1.05439478053441e-06	2.04510130611781e-05	2.52163447762049e-05
