fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 062902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	763381	0.0852675700273365	0.571486721597484	4506	588	5622	23960000	1
20220930 062934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	120	TRUE	763381	0.163355231039319	0.859774574691488	3871	789	10567	24150000	2
20220930 062949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	763381	0.172359017285064	0.532163597504143	2791	172	11346	23790000	3
20220930 063006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	763381	0.143110738833237	0.302802223313786	4283	645	7937	23970000	4
20220930 063109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	334	TRUE	763381	0.0325870889877784	0.262269329908793	6945	1015	6804	24640000	5
20220930 063122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	11	TRUE	763381	0.269744840058952	0.651746180897986	712	308	8746	22590000	6
20220930 063201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	763381	0.217559294390143	0.411328999604646	5521	105	14331	22460000	7
20220930 063243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	763381	0.0554407846994465	0.0869549141865107	4899	464	6155	23850000	8
20220930 063257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	763381	0.235440994211962	0.901365630990965	3266	420	13577	22130000	9
20220930 063338	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	763381	0.0957490539246937	0.0284548519572709	2290	840	9380	23400000	10
20220930 063355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	763381	0.126956001682766	0.49977560595402	7585	547	14922	20960000	11
20220930 063427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	763381	0.114862244412862	0.953352714717353	50	98	11858	23170000	12
20220930 063448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	763381	0.292668456544541	0.157796463592199	3050	306	12818	22450000	13
20220930 063502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	763381	0.192875407792791	0.832730280133791	1773	958	8356	24170000	14
20220930 063517	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	763381	0.276076659105893	0.775917175294715	7645	765	12259	23330000	15
20220930 063738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	938	TRUE	763381	0.00970949898429681	0.204417021048523	5645	31	10171	24620000	16
20220930 063810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	763381	0.0722156693981378	0.392215098767332	941	395	5371	23020000	17
20220930 063827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	763381	0.252193411461881	0.139918740326725	6526	919	9735	23410000	18
20220930 063912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	763381	0.0308812762128888	0.639005322253169	1501	693	13259	23170000	19
20220930 063922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	763381	0.206447796676983	0.704295019429491	6015	231	7187	24510000	20
20220930 064018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	763381	0.0258493564924808	0.998248154453538	5979	973	7199	24490000	21
20220930 064050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	763381	0.0645344742011325	0.56401775590247	7973	26	7605	24550000	22
20220930 064109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	763381	0.103964938434273	0.916292108680718	6216	6	9844	24320000	23
20220930 064128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	763381	0.1775803011239	0.659055916107919	7983	1024	6270	24100000	24
20220930 065931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8845	TRUE	763381	0.00120290593337686	0.547184728514756	6784	178	7511	24420000	25
20220930 065955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	763381	0.209335952601389	0.244815093420239	6796	4	7047	23350000	26
20220930 070010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	763381	0.148597145888954	0.89085157685387	6410	418	7596	24970000	27
20220930 070022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.181842101339444	0.998674961324587	6135	691	7729	24150000	28
20220930 070036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	763381	0.130168270960879	0.902729683748949	7997	303	7537	24290000	29
20220930 070051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	763381	0.162477170586164	0.962143599636946	5095	381	7046	24870000	30
20220930 070103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	763381	0.177562917241081	0.834051148018304	6067	448	7068	24430000	31
20220930 070113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	763381	0.149803749061167	0.887052007522427	4323	9	7185	23870000	32
20220930 070144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	763381	0.0362907491259774	0.998377255043471	6529	12	9613	24220000	33
20220930 070201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	763381	0.146448606676494	0.999197539425575	5264	1016	6073	23620000	34
20220930 070245	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	763381	0.00763125125496936	0.00680359258511305	7995	828	8212	16060000	35
20220930 070306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	763381	0.0818645899042178	0.983581878496383	3415	583	6947	24190000	36
20220930 070352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	763381	0.157071584557125	0.477934933854739	952	394	7614	25180000	37
20220930 070417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	763381	0.216586579246605	0.834933436783635	780	401	7431	23140000	38
20220930 070439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	763381	0.148038894713294	0.547760820216124	3518	203	7685	24230000	39
20220930 070513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	763381	0.14708923738733	0.421048085740497	838	787	7595	24410000	40
20220930 070544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	763381	0.0540242483542986	0.790919108856952	1317	376	7492	25100000	41
