Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.160734508263342	0.0249560598635445	0.0379159997792373
r_mcuenta_corriente	0.074661318535658	0.0239522896843818	0.0273193884872234
r_mtarjeta_visa_consumo	0.0665451125535073	0.0138630799837956	0.0183233070257741
ctrx_quarter	0.0378662495922218	0.0267212114391742	0.0424968265356808
r_mpasivos_margen	0.026049278486569	0.0243316245006091	0.0339422705447321
Master_fechaalta	0.0252275107787053	0.0229904289401203	0.0302996854131023
cliente_edad	0.0249331563969161	0.0233488265970813	0.0328936475522932
numero_de_cliente	0.0245356222530815	0.0266148595662478	0.0341078425961698
cpayroll_trx	0.0238881731390453	0.00828880129097759	0.00292510624206634
cliente_antiguedad	0.0229592622451944	0.0245416555006369	0.0309067829350406
Master_Fvencimiento	0.0227140051891885	0.0231563693885809	0.0315690711407914
Visa_Fvencimiento	0.0206973107852893	0.0216415897167536	0.0314586897731663
Visa_fechaalta	0.0203219971034529	0.0258952705501203	0.0303548760969148
Master_mlimitecompra	0.0198185586817306	0.0189955908590033	0.0286439648987251
Visa_mpagominimo	0.0196785978521207	0.0179125903488561	0.0253325238699708
mpayroll	0.0189234291761865	0.0165963118027309	0.00971356035101275
r_chomebanking_transacciones	0.0188969067867666	0.0191877983511055	0.0267122909652851
mcomisiones_mantenimiento	0.0181903381120711	0.0204637750116432	0.0134665268502677
Visa_mpagospesos	0.0169365272765044	0.01817600213083	0.0245598542965947
visa_fe_suma_all	0.0156286464870774	0.0168686275350302	0.0235664219879684
r_mcaja_ahorro_dolares	0.0142347867189139	0.0253327063266719	0.0195375020696506
r_Visa_mconsumospesos	0.0129454282065543	0.0119684231429386	0.0200342182239638
Visa_mfinanciacion_limite	0.0126984101953563	0.0135026650865549	0.0187648324962746
mtransferencias_recibidas	0.0116000286400083	0.0117582243647057	0.0198134554887135
Visa_cconsumos	0.011327003393416	0.0119671745609473	0.0198134554887135
cociente_fe_01	0.0107632338577829	0.00973427295683233	0.0158397262542083
ctarjeta_visa_transacciones	0.0106632491674893	0.0136147058111792	0.0192063579667752
mttarjeta_visa_debitos_automaticos	0.010167100071452	0.0118176061438475	0.0158949169380209
mtransferencias_emitidas	0.00926549885267018	0.0138489202836507	0.0163364424085214
cproductos	0.00887676090924707	0.0154537812443304	0.0137976709531431
mprestamos_personales	0.00852468746295167	0.0163299385403463	0.00678845410894641
r_mcuenta_debitos_automaticos	0.00847230704145501	0.0145678186778642	0.0114244715492025
mautoservicio	0.00818205133846052	0.0149683637806685	0.0177162095038358
ctarjeta_debito_transacciones	0.00786349646060461	0.0135256272897384	0.0194823113858381
cdescubierto_preacordado	0.00784816388600393	0.00489018842343027	0.00198686461725261
Visa_mlimitecompra	0.00776130471741952	0.00945395069251391	0.0121419504387659
ctransferencias_recibidas	0.00725345755922971	0.0104591723482415	0.0105414206082013
Visa_status	0.00645206640254432	0.00726190503224506	0.00193167393344004
ccaja_seguridad	0.00595314800869246	0.0125457401429778	0.0016005298305646
Visa_mconsumosdolares	0.00518020466496964	0.00995130772146748	0.008002649152823
thomebanking	0.00503421637806386	0.00228250542553746	0.00336663171256692
cmobile_app_trx	0.00502315262334851	0.00297784854012165	0.00485678017550637
ctarjeta_visa_debitos_automaticos	0.00490204780488805	0.0092234195369167	0.0064021193222584
