fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20221118 222150	-0.58894134	1067.806709	509.060648	13	5	39520000	49
20221118 205349	-0.210796126	1383.883104	435.9050318	20	5	39386666.67	43
20221118 220340	-0.999990637	2299.382991	2.090244009	20	5	39320000	36
20221118 211155	-0.607021002	1641.637514	381.7362943	12	5	39240000	57
20221118 205928	-0.176366105	1400.203404	447.3338223	10	5	39146666.67	47
20221118 210342	-0.78091673	2345.422404	424.6958037	7	5	39106666.67	50
20221118 222450	-0.872243481	1837.902671	209.4918979	8	5	39093333.33	52
20221118 220919	-0.230786063	1511.068524	383.7687883	14	5	39080000	40
20221118 221659	-0.986725448	2084.044666	175.081303	15	5	39026666.67	46
20221118 215750	-0.090841974	2243.60263	498.2154915	20	5	38933333.33	33
20221118 222343	-0.74008677	1924.734997	264.7261572	5	5	38906666.67	51
20221118 223845	-0.891274748	1894.238629	333.9102828	16	5	38840000	63
20221118 211808	-0.946604183	1062.15734	399.1942235	10	5	38813333.33	62
20221118 221201	-0.681570748	3272.762258	253.7869288	9	5	38813333.33	42
20221118 210929	-0.150378175	1874.288653	677.0548655	20	5	38773333.33	55
20221118 224238	-0.181208039	2113.244808	330.3795845	20	5	38746666.67	65
20221118 222827	-0.841341724	1461.448329	432.0327867	7	5	38706666.67	56
20221118 212147	-0.681696509	3276.569807	263.0404989	9	5	38680000	65
20221118 221841	-0.481748547	1240.231434	617.49584	20	5	38640000	47
20221118 224050	-0.981068839	3638.264209	2.878278736	20	5	38600000	64
20221118 204942	-0.571083732	1713.942375	561.0977168	20	5	38586666.67	40
20221118 212602	-0.097306783	2354.387075	560.6211218	20	5	38573333.33	68
20221118 210729	-0.204939872	2065.813733	111.3683949	12	5	38546666.67	53
20221118 221315	-0.586164916	1344.372801	8.856422961	10	5	38546666.67	43
20221118 222016	-0.309862661	2474.919195	386.2552685	15	5	38520000	48
20221118 211036	-0.969186845	2934.85738	1.503420474	9	5	38493333.33	56
20221118 211504	-0.667437695	1562.678923	86.5732509	11	5	38413333.33	60
20221118 205818	-0.261751406	594.8626286	288.3370617	20	5	38386666.67	46
20221118 220750	-0.255364786	3650.886163	305.6180793	14	5	38320000	39
20221118 205536	-0.225628388	3132.77287	584.7065112	20	5	38240000	44
20221118 221054	-0.99999865	2425.667966	706.2169097	20	5	38213333.33	41
20221118 212040	-0.586658754	1118.613425	62.38253183	9	5	38200000	64
20221118 210434	-0.999996775	897.2490292	155.6723157	6	5	38173333.33	51
20221118 222255	-0.798382965	2781.193289	572.0861994	8	5	38146666.67	50
20221118 210245	-0.966372931	1044.339636	364.1051123	20	5	38106666.67	49
20221118 205634	-0.224280561	125.1039166	33.19820216	7	5	38066666.67	45
20221118 223239	-0.087092253	2186.173247	620.3262861	9	5	38040000	59
20221118 222935	-0.625014672	593.6971677	295.6291718	8	5	3.80E+07	57
20221118 223538	-0.114923104	3239.007823	836.8158183	20	5	3.80E+07	61
20221118 222728	-0.749311045	3043.605755	120.4014643	7	5	37920000	55
20221118 222629	-0.737733649	2058.437249	970.7144517	8	5	37866666.67	54
20221118 215938	-0.938847906	4996.801864	248.0541358	20	5	37840000	34
20221118 211654	-0.940341295	4999.508039	245.2102574	20	5	37813333.33	61
20221118 220456	-0.564751239	2015.939634	999.2410248	12	5	37786666.67	37
20221118 205045	-0.585985046	4659.134924	556.8335093	8	5	37680000	41
20221118 210607	-0.99944771	4997.249935	221.7996243	15	5	37666666.67	52
20221118 204541	-0.46511333	2697.905604	875.3436123	11	5	37600000	37
20221118 220624	-0.280046719	2604.697224	999.5469534	19	5	37560000	38
20221118 205201	-0.328713422	2007.567486	999.7437066	11	5	37546666.67	42
20221118 212426	-0.256117006	4907.827285	5.881920225	10	5	37466666.67	67
20221118 211930	-0.565340002	1994.443666	996.2271254	13	5	37426666.67	63
20221118 211345	-0.310068372	4878.424349	714.7919317	12	5	37386666.67	59
20221118 212315	-0.291864368	2840.957262	999.1388738	17	5	37373333.33	66
20221118 221518	-0.799850164	4711.987899	954.2957862	20	5	37346666.67	45
20221118 220137	-0.68821491	4993.326467	2.910201068	20	5	37200000	35
20221118 204757	-0.493799733	4994.688029	382.5034999	17	5	37106666.67	39
20221118 210101	-0.427435517	4997.474146	999.7941731	20	5	37080000	48
20221118 223708	-0.84711319	4002.470515	993.9613091	20	5	3.70E+07	62
20221118 210805	-0.9860201	3288.91294	987.1669977	3	5	36266666.67	54
20221118 221351	-0.387723681	4519.631001	999.3200143	3	5	35986666.67	44
20221118 223411	-0.07093352	4994.933128	662.3228495	20	5	35773333.33	60
20221118 222525	-0.787712299	1899.370287	316.1485948	3	5	35480000	53
20221118 204619	-0.526660676	710.8683134	354.2843797	3	5	34986666.67	38
20221118 211230	-0.285982181	1328.339736	372.7972493	3	5	34920000	58
