fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221119 190232	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	634	1	1	1	0.1	50	0.5	FALSE	763369	0.010068087	0.741516793	0.897131968	9.696624209	0.012849353	16746	45388000	56
20221119 063611	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	806	1	1	1	0.1	50	0.5	FALSE	763369	0.015664139	0.200057445	0.723192628	6.803420791	0.018818223	16953	44974000	20
20221119 173658	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1660	1	1	1	0.1	50	0.5	FALSE	763369	0.010003503	0.635992739	0.892532683	7.03050453	0.01748483	17058	44924000	52
20221119 091530	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	442	1	1	1	0.1	50	0.5	FALSE	763369	0.010240628	0.200937975	0.707891455	8.323203157	0.017266126	17771	44858000	30
20221119 120312	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	763369	0.085379395	0.289676167	0.993388445	6.842333443	0.01826885	17730	44540000	39
20221119 183112	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	0.1	50	0.5	FALSE	763369	0.02466426	0.290839193	0.458699038	6.512707548	0.01962432	17254	44452000	55
20221119 081825	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1305	1	1	1	0.1	50	0.5	FALSE	763369	0.010497194	0.245028979	0.690407268	6.197211293	0.018540045	17963	44394000	24
20221119 113502	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	859	1	1	1	0.1	50	0.5	FALSE	763369	0.010198096	0.217951125	0.586307236	6.760591093	0.01845604	17877	44326000	37
20221119 101353	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2612	1	1	1	0.1	50	0.5	FALSE	763369	0.012767474	0.29475221	0.337928455	5.973076444	0.018861825	17828	44264000	32
20221119 180736	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1073	1	1	1	0.1	50	0.5	FALSE	763369	0.012964985	0.363698707	0.917817559	6.886395782	0.017766106	17731	44138000	53
20221119 181700	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	0.1	50	0.5	FALSE	763369	0.077079214	0.531752973	0.896387523	6.534673258	0.019336075	17733	44134000	54
20221119 042403	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	0.1	50	0.5	FALSE	763369	0.025178716	0.412298145	0.889006398	9.368703414	0.010193272	18002	44076000	6
20221119 130512	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1004	1	1	1	0.1	50	0.5	FALSE	763369	0.010218432	0.387981192	0.81923324	6.879151614	0.018475491	18018	43964000	42
20221119 102019	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	0.1	50	0.5	FALSE	763369	0.071289144	0.27825037	0.51399192	6.821663868	0.018593528	17716	43928000	33
20221119 123319	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	0.1	50	0.5	FALSE	763369	0.010273214	0.21076271	0.653972047	8.026314524	0.016303508	18837	43926000	41
20221119 142119	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1974	1	1	1	0.1	50	0.5	FALSE	763369	0.010022995	0.303787526	0.859666816	10.00564657	0.000302944	17451	43898000	44
20221119 104620	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	929	1	1	1	0.1	50	0.5	FALSE	763369	0.010199072	0.606409121	0.986877988	8.572307812	0.012562193	18060	43880000	34
20221119 115632	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	746	1	1	1	0.1	50	0.5	FALSE	763369	0.024569074	0.382668099	0.645446826	5.787216209	0.0178803	18691	43818000	38
