fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221115 180300	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	0.1	50	0.5	FALSE	763369	0.193714499	0.782143674	0.916587466	4.682136653	0.025010314	15986	47148000	5
20221116 025233	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	0.1	50	0.5	FALSE	763369	0.165009101	0.73170132	0.873731291	4.636233778	0.025093475	15979	46762000	26
20221115 193905	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	268	1	1	1	0.1	50	0.5	FALSE	763369	0.163124828	0.571741168	0.663042638	5.3715265	0.023973616	16834	46652000	8
20221116 054351	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	0.1	50	0.5	FALSE	763369	0.183021788	0.799443759	0.907720885	4.565677058	0.022452564	17400	46640000	35
20221116 200333	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	0.1	50	0.5	FALSE	763369	0.258110133	0.622079652	0.701117131	5.339236039	0.024618471	16017	46606000	64
20221116 052200	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	763369	0.142393104	0.417715013	0.647515014	5.833690161	0.023930195	16184	46592000	33
20221116 033817	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	185	1	1	1	0.1	50	0.5	FALSE	763369	0.176081836	0.461813065	0.666655621	5.945283258	0.022894702	16990	46260000	29
20221116 075512	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1597	1	1	1	0.1	50	0.5	FALSE	763369	0.116550536	0.421116987	0.646439231	5.813602264	0.023828613	15711	46098000	41
20221116 065047	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	183	1	1	1	0.1	50	0.5	FALSE	763369	0.16259454	0.469538722	0.587245446	5.662816461	0.022978295	16877	46086000	39
20221116 120050	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1050	1	1	1	0.1	50	0.5	FALSE	763369	0.042250854	0.552761186	0.772093229	11.20242589	0.000291929	14039	46082000	50
