fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221119 033317	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1013	1	1	1	0.1	50	0.5	FALSE	763369	0.0660542210805579	0.637797148554819	0.679723498795647	3.58047869025904	0.018338361779423	19104	42432000	1
20221119 033805	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	0.1	50	0.5	FALSE	763369	0.13825457156825	0.583807437054929	0.705876950859238	8.67723492661025	0.0151689868541872	17956	41688000	2
20221119 034309	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	0.1	50	0.5	FALSE	763369	0.18697783349955	0.556090518532437	0.497068379140546	4.86964904806518	0.020366513402507	17369	42862000	3
20221119 034859	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	0.1	50	0.5	FALSE	763369	0.13523644923931	0.272670159419067	0.383716433519294	8.26415558133158	0.0116388440636515	18212	42536000	4
20221119 040536	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	723	1	1	1	0.1	50	0.5	FALSE	763369	0.259815898302913	0.457535799161997	0.195839382891427	4.09947674188879	0.0182601844013093	18804	43272000	5
20221119 042403	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	0.1	50	0.5	FALSE	763369	0.0251787158263323	0.412298145081149	0.889006397886988	9.3687034141185	0.010193271770757	18002	44076000	6
20221119 043539	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1551	1	1	1	0.1	50	0.5	FALSE	763369	0.0391449430125067	0.72026884368679	0.15778218994601	5.47373767184035	0.019185659570204	18029	43542000	7
20221119 045326	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	741	1	1	1	0.1	50	0.5	FALSE	763369	0.20394269158729	0.515076977622812	0.851395112540922	2.05257865242311	0.0229202637029492	16578	42444000	8
20221119 045910	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	0.1	50	0.5	FALSE	763369	0.283569563788333	0.292991292494116	0.068911049853341	7.42685924818215	0.0167869896172688	18490	42860000	9
20221119 050854	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1321	1	1	1	0.1	50	0.5	FALSE	763369	0.0854827010026201	0.686597413764685	0.563947253409424	2.6411317850725	0.0190595928325703	19493	41174000	10
20221119 051623	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	0.1	50	0.5	FALSE	763369	0.270906319275091	0.469192541352823	0.614009448925208	11.5090158613602	0.000250899835465141	20560	33200000	11
20221119 052108	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	0.1	50	0.5	FALSE	763369	0.229278714427928	0.314284066585242	0.982561861434806	6.51586371989106	0.0187276582228263	17825	42910000	12
20221119 052358	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	763369	0.224894653900847	0.750178151408909	0.244424900945887	5.83734903650475	0.0203167886924353	17681	42638000	13
20221119 053224	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	243	1	1	1	0.1	50	0.5	FALSE	763369	0.0551282072934555	0.204860942950472	0.307448735165235	10.6345897219144	0.00184305694650153	18530	42940000	14
20221119 054926	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	874	1	1	1	0.1	50	0.5	FALSE	763369	0.172690461670281	0.353902304667281	0.437653698145732	1.48745949970908	0.0184994891111072	18174	38052000	15
20221119 060001	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	0.1	50	0.5	FALSE	763369	0.110801511220488	0.789864097675309	0.782488253724296	10.4720473291964	1.33092238253863e-05	15811	42618000	16
20221119 060852	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	0.1	50	0.5	FALSE	763369	0.0366758825095538	0.799907507946879	0.839135418469693	7.94144467204764	0.015189501070931	18341	43638000	17
20221119 061516	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	0.1	50	0.5	FALSE	763369	0.103325067092551	0.799442027567638	0.946770488582527	9.64359005023339	0.0147759486750802	17695	42770000	18
20221119 061803	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	0.1	50	0.5	FALSE	763369	0.286992581178158	0.732646806228476	0.999645419916852	3.17380700367594	0.0232454828288059	16973	43174000	19
20221119 063611	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	806	1	1	1	0.1	50	0.5	FALSE	763369	0.0156641394356164	0.200057444735961	0.723192627947344	6.80342079123702	0.0188182227711034	16953	44974000	20
20221119 071813	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2903	1	1	1	0.1	50	0.5	FALSE	763369	0.0101305850597513	0.200922644756043	0.0535252359479888	7.47782989316355	0.0165560128866649	19208	42144000	21
20221119 072824	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	447	1	1	1	0.1	50	0.5	FALSE	763369	0.0458118107175807	0.200612200580989	0.999817193377569	6.18883936591876	0.0169397803200854	18335	43170000	22
20221119 075008	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1055	1	1	1	0.1	50	0.5	FALSE	763369	0.0119171318590191	0.201767970986788	0.780980236174969	6.34560748000816	0.0156602872526184	19738	43164000	23
20221119 081825	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1305	1	1	1	0.1	50	0.5	FALSE	763369	0.010497193598524	0.245028978903854	0.690407268161644	6.19721129316001	0.0185400454957798	17963	44394000	24
20221119 083755	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1020	1	1	1	0.1	50	0.5	FALSE	763369	0.0102153583903392	0.782314752000732	0.726698897610012	6.67956290636862	0.0192415750285056	17918	43684000	25
20221119 084519	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	0.1	50	0.5	FALSE	763369	0.229204495849734	0.274172409526972	0.179162256321476	9.17028383084332	0.00166678971897793	19453	37494000	26
20221119 084946	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	1	1	1	0.1	50	0.5	FALSE	763369	0.298221221862966	0.752639461559521	0.0755928126455424	4.8527878961214	0.0202247575639163	17510	43300000	27
20221119 085335	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	33	1	1	1	0.1	50	0.5	FALSE	763369	0.283157474890826	0.212019451440002	0.721812450539869	6.54718574783688	0.0143066100745842	20037	40246000	28
20221119 090006	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	126	1	1	1	0.1	50	0.5	FALSE	763369	0.0392934087286406	0.221424359593671	0.582587556958044	7.39795781639735	0.0164185047080189	19487	43186000	29
20221119 091530	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	442	1	1	1	0.1	50	0.5	FALSE	763369	0.0102406283461259	0.200937975006913	0.707891454704224	8.32320315711334	0.0172661263635318	17771	44858000	30
20221119 092531	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	345	1	1	1	0.1	50	0.5	FALSE	763369	0.0279458297211436	0.203081516139527	0.707074699708172	7.27943754826273	0.0155712314349721	19201	43118000	31
