fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221115 160510	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2298	1	1	1	0.1	50	0.5	FALSE	763369	0.0846588935444015	0.519285577026312	0.459727763974661	1.27696094798739	0.0153214039504943	16937	38766000	1
20221115 162025	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	919	1	1	1	0.1	50	0.5	FALSE	763369	0.190128858903045	0.638600891301758	0.608903314088093	3.17777487737476	0.0248616692901724	16543	45954000	2
20221115 172148	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1092	1	1	1	0.1	50	0.5	FALSE	763369	0.10627368055415	0.479272897704504	0.745044032113219	8.04882009445282	0.00550756854377083	16899	43722000	3
20221115 174812	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1778	1	1	1	0.1	50	0.5	FALSE	763369	0.134739573863044	0.605960396685987	0.0546545032506401	4.16918004119361	0.0176262016876112	19671	40978000	4
20221115 180300	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	0.1	50	0.5	FALSE	763369	0.193714498736517	0.782143673984683	0.916587465773046	4.68213665281655	0.0250103136304452	15986	47148000	5
20221115 183959	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	715	1	1	1	0.1	50	0.5	FALSE	763369	0.0351989501234493	0.300381357170409	0.802399102028721	6.75983800855465	0.019090411512774	18292	44936000	6
20221115 191859	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	698	1	1	1	0.1	50	0.5	FALSE	763369	0.143157874946919	0.378167365517584	0.479780906137603	8.6850191049889	0.00554672068462444	17434	43052000	7
20221115 193905	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	268	1	1	1	0.1	50	0.5	FALSE	763369	0.163124827610009	0.571741168215522	0.66304263832717	5.37152649970085	0.0239736163063637	16834	46652000	8
20221115 203145	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1124	1	1	1	0.1	50	0.5	FALSE	763369	0.0737849177797034	0.407542682514759	0.202024649456143	10.1742170279031	0.00602068718499745	16121	44878000	9
20221115 205112	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	763369	0.275936435618642	0.32507659989642	0.310098087524239	9.69899805307796	0.00400154346364127	18337	39406000	10
20221115 225557	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4484	1	1	1	0.1	50	0.5	FALSE	763369	0.0259352635433606	0.45434804278193	0.257277288306068	2.97749139880762	0.0190037857150423	18020	40840000	11
20221115 230430	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	0.1	50	0.5	FALSE	763369	0.23437655356247	0.673725320847007	0.162727250987518	6.07994585232518	0.0193025009136912	19042	43596000	12
20221115 232158	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	284	1	1	1	0.1	50	0.5	FALSE	763369	0.216160362469382	0.208439440571237	0.875687895601732	11.9134996946086	3.6856917190394e-06	16570	40940000	13
20221115 234442	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	0.1	50	0.5	FALSE	763369	0.282081218333624	0.718437045061728	0.997554676223808	7.84510371848592	0.00292793508990914	17632	40496000	14
20221116 003236	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2077	1	1	1	0.1	50	0.5	FALSE	763369	0.246216659179772	0.27126454510435	0.536737184084632	2.08683932665735	0.0180009846388685	17953	40574000	15
20221116 010439	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	0.1	50	0.5	FALSE	763369	0.0590421619944391	0.739442574980785	0.353967589428794	10.8444046536461	0.00260150511892996	17253	43654000	16
20221116 011709	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	0.1	50	0.5	FALSE	763369	0.181662590632583	0.676892990760849	0.896686286894162	5.52275470367644	0.0190014731223031	18890	43980000	17
20221116 013327	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	312	1	1	1	0.1	50	0.5	FALSE	763369	0.193627184588269	0.746956445484673	0.627812915074676	8.6039986359837	0.00977714409906729	16331	44058000	18
20221116 014312	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	330	1	1	1	0.1	50	0.5	FALSE	763369	0.185329996414484	0.699300823367578	0.711104134283217	4.43244789607471	0.021264081983412	17988	44664000	19
20221116 015203	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	309	1	1	1	0.1	50	0.5	FALSE	763369	0.197156738188435	0.786677141106597	0.862431305410733	3.83715347303066	0.0232907963428716	16948	45704000	20
20221116 020847	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	368	1	1	1	0.1	50	0.5	FALSE	763369	0.193016675902268	0.336145981287666	0.971413142868876	4.83767377460365	0.0197305947058507	18811	43898000	21
20221116 021512	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	763369	0.192552552233982	0.790878245615077	0.327273266549992	4.51176698387073	0.0212340565832394	17905	44350000	22
20221116 022414	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	0.1	50	0.5	FALSE	763369	0.191826524962274	0.773326513499997	0.995992521190516	3.31295883433493	0.0211675706049507	18457	44526000	23
20221116 023137	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	0.1	50	0.5	FALSE	763369	0.194360886244708	0.771914397382084	0.834246192851748	5.272362108628	0.0212569837555592	17388	45704000	24
