particion	semilla	corte	ganancia	public_gan	private_gan
241067	537547	2000	15280000	14448000	16112000
241067	537547	2100	15320000	14568000	16072000
241067	537547	2200	15920000	15484000	16356000
241067	537547	2300	16120000	15920000	16320000
241067	537547	2400	16400000	16496000	16304000
241067	537547	2500	16440000	16576000	16304000
241067	537547	2600	16640000	16840000	16440000
241067	537547	2700	16920000	17236000	16604000
241067	537547	2800	17360000	17792000	16928000
241067	537547	2900	17880000	18688000	17072000
241067	537547	3000	18400000	19448000	17352000
241067	537547	3100	18600000	19860000	17340000
241067	537547	3200	18640000	19844000	17436000
241067	537547	3300	18760000	19948000	17572000
241067	537547	3400	19120000	19904000	18336000
241067	537547	3500	19640000	20616000	18664000
241067	537547	3600	2e+07	20576000	19424000
241067	537547	3700	20120000	20820000	19420000
241067	537547	3800	20160000	20944000	19376000
241067	537547	3900	20280000	21028000	19532000
241067	537547	4000	20320000	20968000	19672000
241067	537547	4100	20520000	20924000	20116000
241067	537547	4200	20720000	20752000	20688000
241067	537547	4300	20840000	20856000	20824000
241067	537547	4400	21280000	21156000	21404000
241067	537547	4500	21480000	21448000	21512000
241067	537547	4600	21840000	21840000	21840000
241067	537547	4700	22200000	22300000	22100000
241067	537547	4800	22160000	22108000	22212000
241067	537547	4900	22280000	22200000	22360000
241067	537547	5000	22560000	22140000	22980000
241067	537547	5100	22840000	22756000	22924000
241067	537547	5200	23120000	22848000	23392000
241067	537547	5300	2.3e+07	22820000	23180000
241067	537547	5400	23440000	22988000	23892000
241067	537547	5500	23320000	22904000	23736000
241067	537547	5600	23440000	22868000	24012000
241067	537547	5700	23640000	22968000	24312000
241067	537547	5800	23600000	22916000	24284000
241067	537547	5900	23800000	22916000	24684000
241067	537547	6000	23840000	22888000	24792000
241067	537547	6100	24200000	23304000	25096000
241067	537547	6200	24080000	23220000	24940000
241067	537547	6300	24120000	23200000	25040000
241067	537547	6400	24080000	23308000	24852000
241067	537547	6500	23960000	23244000	24676000
241067	537547	6600	24080000	23532000	24628000
241067	537547	6700	23960000	23492000	24428000
241067	537547	6800	23840000	23280000	24400000
241067	537547	6900	24040000	23584000	24496000
241067	537547	7000	2.4e+07	23684000	24316000
241067	537547	7100	24120000	23624000	24616000
241067	537547	7200	24400000	23764000	25036000
241067	537547	7300	24680000	24376000	24984000
241067	537547	7400	24640000	24300000	24980000
241067	537547	7500	24680000	24108000	25252000
241067	537547	7600	24800000	24204000	25396000
241067	537547	7700	24920000	24348000	25492000
241067	537547	7800	25120000	24460000	25780000
241067	537547	7900	25160000	24444000	25876000
241067	537547	8000	25200000	24608000	25792000
241067	537547	8100	25320000	24728000	25912000
241067	537547	8200	25520000	24684000	26356000
241067	537547	8300	25480000	24832000	26128000
241067	537547	8400	25600000	25128000	26072000
241067	537547	8500	25560000	25264000	25856000
241067	537547	8600	25440000	25220000	25660000
241067	537547	8700	25400000	25020000	25780000
241067	537547	8800	25200000	24808000	25592000
241067	537547	8900	2.5e+07	24628000	25372000
241067	537547	9000	25120000	24764000	25476000
241067	537547	9100	25080000	24600000	25560000
