particion	semilla	public_corte	public_gan	private_corte	private_gan
241067	537547	10851	25892000	8155	26448000
241067	632087	8177	25704000	8682	26124000
241067	284747	9666	26540000	7447	26136000
241067	101653	11325	25996000	11175	26112000
241067	253789	11641	25944000	9688	26592000
241067	763417	7914	25664000	7765	26160000
241067	779771	9772	26516000	8401	27012000
241067	375899	7907	25524000	11277	27108000
241067	451201	8494	26132000	8061	26224000
241067	262349	10518	26300000	7552	26708000
241067	455737	8296	25520000	9408	26276000
241067	302483	9191	26120000	10003	26068000
241067	368803	8580	25644000	8456	26076000
241067	440987	11232	26048000	7931	25600000
241067	595807	9581	26960000	9480	26128000
241067	884489	8137	26356000	9279	25960000
241067	148021	7715	25148000	8956	26500000
241067	626617	9924	26560000	8478	25840000
241067	172049	9412	25860000	9398	25952000
241067	968467	11378	26012000	9548	26980000
241067	543853	9542	25308000	9999	26796000
241067	501971	8352	25752000	8745	26304000
241067	699241	8265	25368000	9493	25956000
241067	215183	7677	25556000	9937	26220000
241067	337327	10224	25500000	10787	25648000
241067	299567	8730	26104000	8840	26268000
241067	766477	8895	25176000	7108	25672000
241067	639143	10815	25504000	10893	26936000
241067	637729	9890	25704000	9765	26168000
241067	583153	10558	25960000	8924	26372000
241067	350593	11308	25356000	6883	25664000
241067	778123	8831	25864000	9674	25748000
241067	816547	10065	26040000	9278	26564000
241067	142211	9300	25328000	6965	25876000
241067	632939	10403	25780000	9016	26552000
241067	285517	9229	25648000	8227	25072000
241067	166157	9883	26348000	7545	25904000
241067	554569	8810	25864000	8615	26420000
241067	838459	8472	26156000	8032	26604000
241067	324983	10105	25656000	8253	25704000
241067	464033	9042	26464000	9513	26536000
241067	670139	9798	26536000	9042	25812000
241067	529957	12271	25448000	9986	26340000
241067	558913	11252	25752000	8155	26896000
241067	222347	7923	26588000	9860	26244000
241067	288313	8229	26076000	10360	26592000
241067	190829	7808	25932000	7938	25916000
241067	624737	8001	25700000	7903	26184000
241067	489817	12833	25036000	10769	26288000
241067	850181	9288	25796000	10050	25880000
899161	537547	8151	25680000	9867	26220000
899161	632087	8185	25700000	7450	26504000
899161	284747	11282	26308000	9039	26548000
899161	101653	11325	26300000	11241	25840000
899161	253789	9678	26024000	8381	26140000
899161	763417	7776	25088000	7914	26792000
899161	779771	9869	26204000	9173	27484000
899161	375899	7907	25880000	8263	26876000
899161	451201	8632	25416000	8300	26796000
899161	262349	7556	25888000	7374	26684000
899161	455737	11010	25688000	8298	26120000
899161	302483	11477	25748000	7368	26908000
899161	368803	8658	25172000	8419	26560000
899161	440987	9200	25764000	6738	26120000
899161	595807	9460	26528000	9581	26564000
899161	884489	9313	26048000	8549	26180000
899161	148021	10833	25544000	7400	26440000
899161	626617	9911	25632000	7522	26552000
899161	172049	10301	25744000	9017	26388000
899161	968467	11378	25948000	9101	27332000
899161	543853	10706	25452000	8239	27364000
899161	501971	10397	25984000	9223	26616000
899161	699241	9913	25428000	7975	26140000
899161	215183	7968	25556000	7121	25984000
899161	337327	12258	25132000	10787	26048000
