fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 013536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	763381	0.0881402446758002	0.656846223501489	4506	594	5622	24360000	1
20220925 013553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	763381	0.165183254704345	0.887707367120311	3871	793	10567	25190000	2
20220925 013608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	763381	0.174066588960181	0.625356234237552	2791	185	11346	25070000	3
20220925 013626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.145209591825434	0.441683462113142	4283	651	7937	24850000	4
20220925 013721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	218	TRUE	763381	0.0361645192354335	0.40922468861565	6945	1016	6804	25520000	5
20220925 013750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	763381	0.270149591362511	0.72111806278117	712	319	8746	24350000	6
20220925 013804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	763381	0.21866218008392	0.528591791475192	5521	119	14331	22700000	7
20220925 013836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	763381	0.0587124798874138	0.268832764113322	4899	473	6155	24810000	8
20220925 013849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	763381	0.236304659841233	0.921013518311083	3266	430	13577	23410000	9
20220925 013911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	763381	0.0984815080527915	0.22198586743325	2290	843	9380	25240000	10
