Feature	Gain	Cover	Frequency
ctrx_quarter	0.287012317300271	0.0312001674504543	0.0259843904286545
mcuentas_saldo	0.0659762790186543	0.0338381079290121	0.0361292591540532
mpayroll	0.063667581897553	0.043212189324823	0.0226703999783576
cpayroll_trx	0.0418453132001247	0.0197439169584461	0.00873811359547674
mprestamos_personales	0.0413589678698088	0.0251569747683404	0.0129719054768765
mpasivos_margen	0.0389798332961082	0.0130657225381528	0.0199651016515846
mrentabilidad_annual	0.0336927726537173	0.030575967348464	0.0407823722761028
mtarjeta_visa_consumo	0.0274291300797637	0.016643198009759	0.0187882968794384
mcaja_ahorro	0.0216516927349352	0.0163098883264347	0.0269177183513912
mcomisiones_mantenimiento	0.0175183228653197	0.0210859235210119	0.017922601414871
mrentabilidad	0.0168497556390067	0.0143108084078515	0.0227245059448931
mcuenta_corriente	0.0168094315569359	0.0212791002201426	0.0214530157313098
Visa_mpagominimo	0.0165913534767584	0.0146991898664631	0.0230897212190074
mactivos_margen	0.0130412767058589	0.017542366700303	0.0233196715767831
Visa_status	0.0125859786850864	0.0280895749366427	0.00716904056594841
ctarjeta_visa	0.0112129199725654	0.00133032091234914	0.00136617565502036
Visa_fechaalta	0.0110500874667581	0.0185843007830088	0.0204791083336715
cliente_edad	0.0105731394642812	0.018520833268864	0.0320307321889921
cdescubierto_preacordado	0.0104233344256022	0.0126104964977246	0.0048965899714591
Master_fechaalta	0.0091372743443219	0.015655653297146	0.0218858634635934
ccajas_consultas	0.00806312643240616	0.0188043446126924	0.00584344438582965
Master_Fvencimiento	0.00798491989637393	0.0151031387833668	0.0228191913863301
Visa_msaldopesos	0.00785487362202583	0.0137385276085899	0.0166646376929216
ctarjeta_master	0.00762957355761918	0.000322808305420782	0.000771010023130301
cproductos	0.00728233442760927	0.0108107105021007	0.0102936601333712
Visa_mconsumospesos	0.00722482535568931	0.0131722605948959	0.0208037441328843
ccomisiones_otras	0.00706704475066515	0.0191247719225851	0.0254433307632999
Visa_Fvencimiento	0.00697126213237078	0.00832248732883457	0.0178143894818001
ccaja_seguridad	0.00694510787690466	0.0171130672684613	0.00446374223917543
numero_de_cliente	0.00689168329177517	0.0129094996366726	0.0207902176412504
chomebanking_transacciones	0.00664456626968797	0.0069425466995423	0.0163941078602443
ctarjeta_visa_transacciones	0.00640020250271587	0.0101268897357398	0.0174356477160519
cliente_antiguedad	0.00603724316048189	0.00859786344498165	0.0160559455693977
Master_status	0.00601446824652939	0.0139235087410536	0.0033951494001001
Visa_cconsumos	0.0059475603217999	0.00778619250904921	0.0139593393661486
Master_mfinanciacion_limite	0.0055871375640169	0.00605114258291079	0.0153660944960706
Visa_mfinanciacion_limite	0.00500920046211963	0.00580930775956032	0.013418279700794
Visa_mpagospesos	0.00477757721053359	0.00802001374045127	0.0161776839941024
cprestamos_personales	0.0046718613872461	0.0125916348181458	0.00522122577067186
mcuenta_debitos_automaticos	0.00455682401566036	0.0106086936626947	0.00726372600738547
mcomisiones_otras	0.00442018748575352	0.0116585570543214	0.015920680653059
ccomisiones_mantenimiento	0.00430764453545049	0.0157567709016801	0.00503185488779775
mautoservicio	0.00426621519893287	0.0164213895041861	0.0226027675201883
mtransferencias_recibidas	0.00375693406239392	0.00609170474767798	0.0139863923494163
Visa_msaldototal	0.00365135458535904	0.0102490742661133	0.0119033126378011
mcomisiones	0.00362095265602567	0.01064715258282	0.0158530481948897
thomebanking	0.00352920322657872	0.00463713101861472	0.0051671198041364
internet	0.00329438382905616	0.0159759010267243	0.00495069593799456
cmobile_app_trx	0.00328359569410334	0.00538511559185928	0.0062492391348456
mtransferencias_emitidas	0.00325964126333127	0.0147021014619601	0.0221834462795385
ccallcenter_transacciones	0.00325757982666429	0.0198916181754085	0.00595165631890057
mcaja_ahorro_dolares	0.00325481860412108	0.00674023008073149	0.0103071866250051
ctransferencias_recibidas	0.00314954237072211	0.0118546094328861	0.0125255312529589
mttarjeta_visa_debitos_automaticos	0.00308650983458088	0.00455571313512645	0.00844053077953171
Master_mconsumospesos	0.00289693292856644	0.00516216687101039	0.00553233507825075
ctarjeta_debito_transacciones	0.00288621226935536	0.00746517138691703	0.0143516076235307
Visa_mconsumosdolares	0.00279367816604937	0.0119785208075625	0.0109564582234306
tmobile_app	0.00276060221841481	0.0166896628597393	0.00350336133317102
mtarjeta_master_consumo	0.00271035117660638	0.00584926557670955	0.00377389116584831
tcallcenter	0.00245293608961361	0.00379753462547662	0.00284056324311163
Master_mpagospesos	0.00203843198764375	0.0106970016836847	0.00507243436269935
ctarjeta_visa_debitos_automaticos	0.00187632032683148	0.00444272790565711	0.00411205345669494
Master_mpagominimo	0.00181218193441786	0.00267663788134061	0.00436905679773837
ctransferencias_emitidas	0.0017943829371043	0.00497575723700598	0.00612750071014081
mplazo_fijo_dolares	0.00166996984973529	0.0150697421125833	0.0038550501156515
mpagomiscuentas	0.00161594568354778	0.00284471116804583	0.00528885822884119
ccaja_ahorro	0.00159204371655598	0.0102221175848435	0.00426084486466745
ctarjeta_debito	0.00155989434116293	0.00180199028412267	0.00370625870767899
cextraccion_autoservicio	0.00144987925230652	0.0135834597676917	0.0132559618011876
Master_mlimitecompra	0.00137658696562128	0.00191068522016152	0.00365215274114353
Master_msaldopesos	0.00134257415147142	0.00427832715610095	0.00384152362401764
Master_cconsumos	0.00131933858787116	0.00108050745535146	0.00177197040403631
Visa_mlimitecompra	0.00128911186050735	0.00283367104919925	0.00319225202559212
Visa_fultimo_cierre	0.00116877829177311	0.00337133020049297	0.00321930500885985
cpagomiscuentas	0.00116085263372778	0.00212413917062909	0.00340867589173396
mextraccion_autoservicio	0.00113945642944508	0.00668424076975789	0.00921154080266201
Master_msaldototal	0.00109277663346439	0.00617001517340641	0.00408500047342721
ctarjeta_master_transacciones	0.000975929041551563	0.00228219810124341	0.00144733460482355
