fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 031002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	763381	0.0881402446758002	0.656846223501489	4506	594	5622	24040000	1
20220926 031019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	763381	0.165183254704345	0.887707367120311	3871	793	10567	25430000	2
20220926 031033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	763381	0.174066588960181	0.625356234237552	2791	185	11346	24990000	3
20220926 031103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	763381	0.145209591825434	0.441683462113142	4283	651	7937	26450000	4
20220926 031155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	239	TRUE	763381	0.0361645192354335	0.40922468861565	6945	1016	6804	25280000	5
20220926 031226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	763381	0.270149591362511	0.72111806278117	712	319	8746	24990000	6
20220926 031240	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	763381	0.21866218008392	0.528591791475192	5521	119	14331	22780000	7
20220926 031316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	763381	0.0587124798874138	0.268832764113322	4899	473	6155	24970000	8
20220926 031330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	763381	0.236304659841233	0.921013518311083	3266	430	13577	24290000	9
20220926 031357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	763381	0.0984815080527915	0.22198586743325	2290	843	9380	25960000	10
20220926 031417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	763381	0.129270971559919	0.599419904667884	7585	554	14922	22160000	11
20220926 031439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.11733900368493	0.962644816590473	50	112	11858	23490000	12
20220926 031454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	763381	0.292766537393443	0.325562733607367	3050	317	12818	23650000	13
20220926 031510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	763381	0.194308512705262	0.866050274381414	1773	959	8356	25370000	14
20220926 031523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	763381	0.276396703800128	0.820554294530302	7645	769	12259	24450000	15
20220926 031748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	690	TRUE	763381	0.0135929839477176	0.362896513352171	5645	47	10171	26220000	16
20220926 031828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	763381	0.0752629514128785	0.513285364378244	941	405	5371	24380000	17
20220926 031844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	763381	0.252832964485802	0.31124623849988	6526	921	9735	24930000	18
20220926 032000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	302	TRUE	763381	0.0344815266983351	0.71091517297551	1501	698	13259	24770000	19
20220926 032014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	763381	0.207699331169599	0.763199214758352	6015	243	7187	25470000	20
20220926 032141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	296	TRUE	763381	0.0258545116103912	0.350508216469764	4396	259	8658	26930000	21
20220926 032307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	492	TRUE	763381	0.0187536504166739	0.200347232618622	4135	16	8246	26310000	22
20220926 032853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1179	TRUE	763381	0.0052400587596546	0.481174996318261	4708	431	8894	26940000	23
20220926 032930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	763381	0.0656424611889624	0.458343954032555	4388	252	8938	26450000	24
20220926 033348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1081	TRUE	763381	0.00506418323385183	0.335307821181916	4701	685	8610	26540000	25
20220926 033849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1073	TRUE	763381	0.0053053452856093	0.305675433302044	4235	347	9031	26740000	26
20220926 034210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1011	TRUE	763381	0.0120525103933022	0.44688787462128	5500	286	8520	26720000	27
20220926 034322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	226	TRUE	763381	0.0230331871487137	0.457972576646484	2850	396	9053	26700000	28
20220926 034425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	763381	0.0241264765247195	0.466708847894381	4460	435	8856	26530000	29
20220926 034448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	763381	0.150485386182769	0.242659070428038	3252	222	8042	24800000	30
20220926 035044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1070	TRUE	763381	0.00502110137700021	0.387780129526626	2195	215	8633	27620000	31
20220926 035520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	812	TRUE	763381	0.00507064329478292	0.369435059553836	25	107	8437	26890000	32
20220926 035548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	763381	0.127877223999423	0.405455014429107	1922	1024	9175	26050000	33
20220926 040000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1112	TRUE	763381	0.00500294735086214	0.802227710427139	3257	1023	9035	26890000	34
20220926 040508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1610	TRUE	763381	0.00503602693757888	0.690585811517663	3190	169	8922	26640000	35
20220926 041107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1216	TRUE	763381	0.00515579246626129	0.379246957004182	929	199	8620	27320000	36
20220926 041713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	881	TRUE	763381	0.00501144188249751	0.589109255028293	2265	1018	8771	27580000	37
20220926 042145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	897	TRUE	763381	0.00508773066315529	0.61935211787452	1725	947	8207	27190000	38
20220926 042204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	763381	0.299653446644515	0.505849239649368	5277	1012	5003	22640000	39
20220926 042224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	763381	0.173894794448175	0.552885760202655	7969	1021	8559	26010000	40
20220926 042705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1056	TRUE	763381	0.00505772288912951	0.99897207797247	1868	1023	10444	26320000	41
20220926 043220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1048	TRUE	763381	0.00502310387798723	0.510681823465725	2269	1022	8788	27230000	42
20220926 043716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1406	TRUE	763381	0.00500080417339789	0.621296048575591	3906	1017	10123	26240000	43
20220926 044203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	921	TRUE	763381	0.00510267336207011	0.566464186723798	2187	654	8659	27330000	44
20220926 045109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2781	TRUE	763381	0.0051433195627925	0.998749883232112	7360	630	8521	26160000	45
20220926 045956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	953	TRUE	763381	0.00500673621749415	0.905767293484701	182	373	8314	26580000	46
20220926 050533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	763381	0.00500342078465947	0.998861926812293	353	1024	7062	25880000	47
20220926 051202	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2088	TRUE	763381	0.00519867352924877	0.200396456667431	1720	202	14643	23760000	48
20220926 051716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2026	TRUE	763381	0.00502731930827106	0.915010343978319	4879	17	8865	26350000	49
20220926 051737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	763381	0.249890485395795	0.99989588553925	7984	436	8495	25490000	50
20220926 053135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	841	TRUE	763381	0.00501821399955496	0.986210782949906	62	952	14991	22900000	51
20220926 053750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1092	TRUE	763381	0.00501088128423773	0.614358367348113	859	1021	9101	26920000	52
20220926 053817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	763381	0.0765545725983006	0.597809545822558	2460	1019	8556	26250000	53
20220926 054359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1455	TRUE	763381	0.0052403639875299	0.546457432752487	3513	205	8623	26920000	54
20220926 054809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	950	TRUE	763381	0.0050031701484122	0.892084750758235	2841	750	8847	26630000	55
20220926 055146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	668	TRUE	763381	0.0050028216695822	0.792450108083083	2300	395	8841	26960000	56
20220926 055203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	763381	0.186299558661085	0.417387493896531	7840	111	8806	26230000	57
20220926 055230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	763381	0.198405835451608	0.479428485070122	2322	561	8932	25500000	58
20220926 055255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	763381	0.113535934325813	0.382255402082069	7893	428	8862	26520000	59
20220926 055307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	763381	0.299558774697203	0.999705349253238	2114	19	5003	22080000	60
20220926 055330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	763381	0.139594622120464	0.576037495102768	6023	224	8784	26440000	61
20220926 055746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1093	TRUE	763381	0.00505653022699507	0.370233700528395	2015	21	8756	27450000	62
20220926 060200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	811	TRUE	763381	0.00503758816725	0.364786599644277	2222	211	8380	27560000	63
20220926 060225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	763381	0.124805394690126	0.912302411385067	7993	99	8155	25530000	64
20220926 060707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1043	TRUE	763381	0.00501398426168019	0.3512744739382	2033	273	8661	27400000	65
20220926 061106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	763381	0.00522452383207489	0.403058840391797	2280	132	8487	27190000	66
20220926 061550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	948	TRUE	763381	0.0050007017965126	0.572317837487456	2491	1004	8217	27010000	67
20220926 062054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1847	TRUE	763381	0.00529514318271313	0.603462249034999	7952	310	8807	25830000	68
20220926 062616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1296	TRUE	763381	0.005016077518264	0.38361103570656	2242	800	9020	27160000	69
20220926 063136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1465	TRUE	763381	0.0050378701068799	0.999921791377866	2280	341	8470	26740000	70
20220926 063159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	763381	0.139029490600353	0.398405761552743	6279	814	8894	26460000	71
20220926 063221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	763381	0.132168995213468	0.999856681097518	7209	1023	8765	26310000	72
20220926 063653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1032	TRUE	763381	0.00509526820567532	0.859367403243728	1930	215	7026	26590000	73
