fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220927 014219	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	763381	0.146301696539158	0.500563014633107	5395	455	5921	0.608533174726657	396	63.5501666671561	45.9734836521326	11.1509779355163	9	20480000	1
20220927 014237	binary	custom	TRUE	TRUE	FALSE	-100	31	24	TRUE	763381	0.082664941335732	0.8463006275325	2517	668	8283	0.421625762460489	636	81.2775181524543	97.325877769253	7.96188549410245	10	20880000	2
20220927 014250	binary	custom	TRUE	TRUE	FALSE	-100	31	47	TRUE	763381	0.059687436999044	0.805242938535627	4323	566	7659	0.588223995661882	356	74.881899634751	48.856830775314	4.8887048306014	12	21010000	3
20220927 014302	binary	custom	TRUE	TRUE	FALSE	-100	31	32	TRUE	763381	0.135944324097919	0.588449693712491	3761	97	12261	0.575759540665736	512	50.6964264322258	63.0070054755628	5.37335919870445	9	21800000	4
20220927 014311	binary	custom	TRUE	TRUE	FALSE	-100	31	11	TRUE	763381	0.157763574375951	0.560217330232263	5104	538	10205	0.366825350503839	126	53.6570723955106	16.4738143603707	7.16130050225289	11	21830000	5
20220927 014316	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	763381	0.235271380537623	0.938875149406323	4455	682	11362	0.104223945039928	975	66.5985821567214	43.9192343314376	4.00238401243543	7	-7680000	6
20220927 014345	binary	custom	TRUE	TRUE	FALSE	-100	31	99	TRUE	763381	0.0390168341106619	0.462466314528137	5958	387	12311	0.702187246713068	307	27.9425539094006	66.7470795549703	8.701858538625	4	22100000	7
20220927 014401	binary	custom	TRUE	TRUE	FALSE	-100	31	24	TRUE	763381	0.0300978066832282	0.635419204691425	2085	755	5546	0.654328916075915	872	35.5180054126447	38.0379312299518	10.553726938751	5	20750000	8
20220927 014406	binary	custom	TRUE	TRUE	FALSE	-100	31	10	TRUE	763381	0.266576083234818	0.791882265177132	6162	651	11788	0.548741698192792	778	90.5468023013626	50.8444546670286	14.621961523174	3	21150000	9
20220927 014417	binary	custom	TRUE	TRUE	FALSE	-100	31	27	TRUE	763381	0.172822195287127	0.715392374717207	6926	917	7740	0.853595085086946	256	59.6548223794589	64.4721676998155	3.04392679317293	9	22440000	10
20220927 014421	binary	custom	TRUE	TRUE	FALSE	-100	31	11	TRUE	763381	0.220042291274982	0.761028717695312	874	855	13509	0.118591816241387	291	48.284736297116	22.7514240677486	10.901248805903	7	18030000	11
20220927 014427	binary	custom	TRUE	TRUE	FALSE	-100	31	18	TRUE	763381	0.247210636302771	0.863578036939725	1719	216	6709	0.307194468393096	709	1.85507634641835	74.7302342547866	6.50281807214106	14	21710000	12
