Feature	Gain	Cover	Frequency
ctrx_quarter	0.211050249075711	0.0260416642976181	0.0236560252496508
mcuentas_saldo	0.0601694361465795	0.0305827105856053	0.0336317069384798
mpayroll	0.0599414615681672	0.0375890795620287	0.017809282351115
mcaja_ahorro	0.0506931663399567	0.0167596213841184	0.0264189993273659
mpasivos_margen	0.0463065621024301	0.0154961023076528	0.0222590158845139
mprestamos_personales	0.0399194337986189	0.0219416090853161	0.0113416464014074
cpayroll_trx	0.0397708420720576	0.0154439335769583	0.00770942205205153
mrentabilidad_annual	0.0328495494156376	0.0288332980689173	0.0357944844000621
mtarjeta_visa_consumo	0.0284543484142978	0.0157122235936076	0.0181300770942205
mcomisiones_mantenimiento	0.0178872065544062	0.0178987544122752	0.016681326641486
mrentabilidad	0.0162551305342756	0.0131228776886922	0.0211414083924044
Visa_mpagominimo	0.0157180811277307	0.0138881167732965	0.0224763284524241
mactivos_margen	0.0144407817773641	0.0175513625974222	0.0226005070626585
mcuenta_corriente	0.0140131470841203	0.0188873596628611	0.0203342474258809
Visa_status	0.0137621735698954	0.0210709971510631	0.00500853727945361
cliente_edad	0.0124050832562733	0.0174219998747691	0.0310963936461944
Visa_fechaalta	0.0119213980168959	0.017696709379708	0.0205412117762715
ctarjeta_visa_transacciones	0.0117223183079837	0.0117005700255065	0.0178610234387127
Master_Fvencimiento	0.0116622476273869	0.0172715333124007	0.0237905520774047
Master_fechaalta	0.0111612768633311	0.017779256661396	0.0259429813214674
cdescubierto_preacordado	0.0107395628946636	0.0112511243600971	0.00383918869974647
Visa_msaldopesos	0.0106719194045644	0.0119573710432213	0.0163605318983805
cprestamos_personales	0.00892947598127113	0.0117287496939939	0.00470843897138718
Visa_Fvencimiento	0.00885749247594374	0.00905493086360299	0.0190407202359394
numero_de_cliente	0.00826904668730383	0.0134440511539302	0.021172453044963
chomebanking_transacciones	0.00815817347332466	0.00820991620816865	0.0178403270036736
ccomisiones_otras	0.00798761384979403	0.0155972277952043	0.0217416050085373
Visa_mconsumospesos	0.00780826275194391	0.012964455176991	0.0203859885134786
Master_mfinanciacion_limite	0.0073379714703233	0.00665861189734877	0.0165778444662907
Visa_msaldototal	0.00731735074313709	0.0128412788383795	0.0140218347389662
cproductos	0.0072112233934112	0.0116450681067654	0.0107621462203136
ccajas_consultas	0.00711125314536735	0.017510116929088	0.00463600144875045
cliente_antiguedad	0.00674424675472025	0.00915043995767388	0.0161328711129508
ctarjeta_visa	0.00648816428635258	0.00181405333814538	0.00112795570962902
Visa_cconsumos	0.0064271324865335	0.00834636448916254	0.0138666114761732
ccaja_seguridad	0.00625979129954324	0.0130473928576195	0.00351839395664097
Visa_mpagospesos	0.00614286765560449	0.00871393299692199	0.0160811300253531
mtransferencias_recibidas	0.00601673702714076	0.0083019887375265	0.0167951570342009
Visa_mfinanciacion_limite	0.00573114165358359	0.0074110168701582	0.0141563615667201
Master_status	0.00569437823453312	0.010125204896911	0.00245252755212915
mcomisiones_otras	0.00562608538892537	0.0103686828920082	0.0142598437419155
ccomisiones_mantenimiento	0.00543560167772975	0.0145249255522396	0.00460495679619186
mcomisiones	0.00534223653135527	0.010613874507377	0.0149738707507632
ctarjeta_debito_transacciones	0.0052326120138711	0.0102921424027413	0.01747813939049
mautoservicio	0.00521394797232471	0.0156775271411445	0.0213897656128732
mcuenta_debitos_automaticos	0.00513528444545251	0.011725219482183	0.00972732446836033
ctarjeta_master	0.00474154744563514	0.000377501181114901	0.00073472344388679
mttarjeta_visa_debitos_automaticos	0.00455402677566125	0.00552322880709399	0.0101205567341026
mcaja_ahorro_dolares	0.0042597628950412	0.00682671573521627	0.0109380659181456
mtransferencias_emitidas	0.00418323952236722	0.0124083608722489	0.0187406219278729
ctransferencias_recibidas	0.00377314311720137	0.0136518621720954	0.0122522895431262
ccallcenter_transacciones	0.00362468368382688	0.0220561929986483	0.00748176126662183
thomebanking	0.00352620407769764	0.00402478524253606	0.0041703316603715
cmobile_app_trx	0.0033803761207165	0.00451069773649702	0.00529828737000052
Visa_mconsumosdolares	0.00328151644464266	0.0108436147569947	0.00995498525379003
mtarjeta_master_consumo	0.00306639917275251	0.0060686793691747	0.00408754592021524
internet	0.00299156523754936	0.0129744721732745	0.00406684948517618
Master_mconsumospesos	0.00271978502229413	0.00486043883677082	0.0048740104516997
mpagomiscuentas	0.00255843144466917	0.00496395293341617	0.00667460030009831
Master_mlimitecompra	0.00250659060214546	0.0029311314612552	0.00581569824597713
Master_mpagospesos	0.00241038995342213	0.0119283517940425	0.00584674289853573
tmobile_app	0.00238608266586902	0.0147209694679675	0.00275262586019558
Visa_mlimitecompra	0.00230815933738256	0.00377261752647339	0.00550525172039116
ctransferencias_emitidas	0.00229431570543272	0.00525290571600375	0.00633310912195374
Visa_mconsumototal	0.00219516656977053	0.00331277987099041	0.00518445697728566
ctarjeta_visa_debitos_automaticos	0.00204583989845775	0.00657579907951746	0.00436694779324261
Master_mpagominimo	0.00202421382524992	0.00446981733238439	0.0048429657991411
cextraccion_autoservicio	0.00192538666889098	0.0140540967274161	0.0136906917783412
tcallcenter	0.0018472511193515	0.00378783416638184	0.00331142960625032
ccaja_ahorro	0.00171719509742717	0.00948311701619927	0.00399441196253945
ctarjeta_debito	0.00166513947705346	0.00146074837796923	0.00374605474207068
Master_msaldopesos	0.00165731593398131	0.00442425214098569	0.00400476018005898
Master_msaldototal	0.00163662180376288	0.00858669659040898	0.0045221710560356
mplazo_fijo_dolares	0.00160872147230779	0.0134988902458097	0.00337351891136752
cpagomiscuentas	0.00153458977852372	0.00393364148158183	0.00390127800486366
Master_cconsumos	0.00152237586109276	0.0013748423681171	0.0022766078542971
mextraccion_autoservicio	0.00148693171329731	0.00671495704536943	0.00941687794277436
Visa_fultimo_cierre	0.00128545593632367	0.00349498712395782	0.00275262586019558
ctarjeta_master_transacciones	0.00125127782461058	0.00276131765170437	0.00139700936513686
ccajas_transacciones	0.00121233068516313	0.00286525255219213	0.00102447353443369
matm_other	0.00117611376464506	0.00406106558768929	0.0031769027784964
ccuenta_debitos_automaticos	0.00109782583526042	0.0020814429642995	0.00242148289957055
matm	0.00109275759383565	0.00276728552585096	0.00427381383556682
catm_trx	0.000973731564174859	0.00431556434623161	0.0048740104516997
Visa_msaldodolares	0.000955579408603096	0.00634677273699666	0.00353909039168003
Master_fultimo_cierre	0.000937598578560771	0.00179227410420902	0.00282506338283231
Visa_mpagado	0.000829538231393099	0.0108610833866378	0.00229730428933616
Master_mconsumototal	0.000769745655880659	0.00111151645845272	0.00127283075490247
ccajas_extracciones	0.000534037770749039	0.00882314821537451	0.00155223262792984
ccajas_depositos	0.000359044170505163	0.00516780847654239	0.00103482175195323
mttarjeta_master_debitos_automaticos	0.000318364300875705	0.000515061470721251	0.000714027008847726
ccheques_depositados	0.000273674451633403	0.00461032608667847	0.00073472344388679
minversion2	0.000267678134737742	0.000265941947424578	0.000434625135820355
catm_trx_other	0.000265914655158677	0.00138970995975164	0.00111760749210948
Visa_mpagosdolares	0.00026332767415343	0.000507824698668348	0.000941687794277436
Master_mconsumosdolares	0.00026302342396418	0.000164398088422898	0.00045532157085942
cseguro_vida	0.000227748599657506	0.00308177599364948	0.000641589486211
active_quarter	0.000211840752164325	0.000250743550457276	0.000362187613183629
Master_mpagado	0.000198532808860628	0.00350779529023643	0.000755419878925855
cinversion1	0.000197137320078556	0.00565727793862795	0.000900294924199307
Master_madelantopesos	0.000142329014076648	0.000118125476306471	0.000113830392714855
Master_msaldodolares	0.000141999253363035	0.000942618444547374	0.000682982356289129
cseguro_vivienda	0.000129549959211857	0.000231404816647427	0.0003207947431055
ccajas_otras	0.000115139179425913	0.00257389332296816	0.000424276918300823
mcheques_depositados	0.000107081450251801	0.00155839838253316	0.000258705437988307
cseguro_accidentes_personales	0.00010598811548279	0.000239084689470809	0.000300098308066436
cinversion2	9.16256643516575e-05	0.00299002048606886	0.000476018005898484
Visa_delinquency	8.8734193169867e-05	0.00205650243136203	0.000476018005898484
mcaja_ahorro_adicional	8.69798934378051e-05	0.00168879000706689	0.0003207947431055
Visa_cadelantosefectivo	8.25870674445599e-05	0.000867106046363631	0.00041392870078129
ctarjeta_visa_descuentos	8.21199959076502e-05	0.000176766802519255	0.000134526827753919
ccajeros_propios_descuentos	5.64870543792865e-05	0.00159015853226934	0.000372535830703161
ctarjeta_master_descuentos	5.50160947289283e-05	0.00116007957317959	0.000186267915351581
Master_delinquency	5.39442786458834e-05	0.000177796920595913	0.000165571480312516
cplazo_fijo	5.15808627076421e-05	0.000216217770843503	0.000134526827753919
ctarjeta_master_debitos_automaticos	4.87263702840003e-05	4.15168800592546e-05	0.000134526827753919
Master_cadelantosefectivo	4.41164861888633e-05	2.23423327197113e-05	6.20893051171936e-05
mtarjeta_visa_descuentos	3.82577973212624e-05	9.55800388420109e-05	5.17410875976613e-05
Visa_madelantopesos	3.40195618891305e-05	0.000251831235148214	0.000186267915351581
Master_mpagosdolares	2.54700825403713e-05	4.86413566744419e-05	0.000206964350390645
cforex	1.1809082350863e-05	0.00028588756307652	0.000165571480312516
cseguro_auto	8.60786828543826e-06	0.000249142631022123	4.1392870078129e-05
mcajeros_propios_descuentos	4.46663024264833e-06	0.000794617922423047	0.000538107311015678
Master_madelantodolares	3.42016503806059e-06	4.40708918195641e-06	1.03482175195323e-05
Visa_madelantodolares	7.5143507889646e-07	0.000149389418043505	0.000144875045273452
mforex_sell	4.77507893842476e-07	2.99062615171488e-05	2.06964350390645e-05
