Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.0841943402770336	0.0185528182998958	0.0269462126145809
mpasivos_margen	0.0507517134792245	0.0195464362038281	0.0275554435130915
ctrx_quarter	0.0387903911762451	0.0149830347764253	0.024075124472175
mrentabilidad_annual	0.029766096738441	0.0446680129773195	0.0347611744851299
cliente_edad	0.0251506990563856	0.0465609202663379	0.0406223958880416
mcuentas_saldo	0.0245851655875537	0.016265659955434	0.0225905618229309
Visa_status	0.0240140068732284	0.00800659278491753	0.00153358122728514
mcaja_ahorro	0.0232750236762659	0.0151926932694204	0.0254056287332899
numero_de_cliente	0.0232723779605203	0.0476815716072038	0.0395579924791496
mcuenta_corriente	0.0225494087425382	0.0348270793440272	0.0320511473848589
cpayroll_trx	0.0215063181236299	0.00250108999257239	0.000994376868833288
Visa_Fvencimiento	0.020911104387289	0.0244790310163723	0.0302864785753801
ctarjeta_debito_transacciones	0.0205616903307464	0.00371347396163495	0.00642143372338116
Visa_fechaalta	0.0196578641470963	0.0216412264868852	0.025881809205689
cociente_fe_01	0.019383376455223	0.0157483390763635	0.0231437714893945
Master_Fvencimiento	0.0186508291861629	0.0240160968940222	0.0274013851249624
cliente_antiguedad	0.0180881058453147	0.0328823420614621	0.0327654180934574
Master_fechaalta	0.0179581044506291	0.0220370982893293	0.0263229764080587
cociente_fe_02	0.016666612285385	0.0210868697128974	0.0293621282466055
mpayroll	0.0164412100505933	0.00392189428739335	0.00252795809611843
chomebanking_transacciones	0.0164120445374014	0.013333404742426	0.0208398983214638
cprestamos_personales	0.0161941427500377	0.0105179898241356	0.0025349607501243
mactivos_margen	0.0161679592579422	0.0305281913918013	0.0255806950834366
Visa_msaldopesos	0.0157526114493764	0.00866895226107143	0.0118064746538938
mtarjeta_visa_consumo	0.0150187922404514	0.00458742004584522	0.00878833077736462
cociente_fe_03	0.0149594312022239	0.0194099978259427	0.0254406420033193
mrentabilidad	0.0148949071933163	0.0260757376612491	0.0226185724389544
Visa_mpagominimo	0.0144568226008038	0.00912099112038845	0.01338907445922
Master_mfinanciacion_limite	0.0143395242530197	0.0175401335769682	0.0209029222075166
Visa_mfinanciacion_limite	0.013212920752212	0.0158723579586556	0.0198665294146482
mcomisiones	0.0122428369905337	0.0103576749909701	0.0151607459227047
Visa_mconsumospesos	0.0120655271730179	0.007028947586138	0.0142013823239008
visa_fe_suma_all	0.011068385962412	0.00947360445500154	0.0143904539820592
ccomisiones_mantenimiento	0.0108544567401398	0.00980460551093864	0.00270302444626513
Visa_msaldototal	0.010699853149321	0.00778418482128254	0.0124437161684278
mtransferencias_recibidas	0.0105992172608753	0.00887516449294112	0.0144604805221179
Visa_mpagospesos	0.0102247916365743	0.0106905872067289	0.0156929476271507
mcomisiones_otras	0.00963383253022454	0.0100028935594436	0.0130599497209442
mcaja_ahorro_dolares	0.00953235066763598	0.0109025355265623	0.0121916206242166
ctarjeta_visa_transacciones	0.00943538681246954	0.00585956427831544	0.0102378801565793
