fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 030213	-0.082906124	490.9891706	239.6967964	8	5	23426666.67	95
20220911 030059	-0.094419668	478.9552551	235.7006216	7	5	23346666.67	91
20220911 030711	-0.374577569	1144.203269	244.8082858	17	5	23200000	111
20220911 024809	-0.373328825	1095.818819	242.9934705	9	5	23160000	47
20220911 030648	-0.307746827	1086.616345	247.7203491	20	5	23133333.33	110
20220911 025616	-0.2003219	1120.994354	233.2732028	20	5	23106666.67	76
20220911 030115	-0.14486331	480.8779972	239.8920018	8	5	23080000	92
20220911 025639	-0.269809473	1095.343322	240.3690581	17	5	23066666.67	77
20220911 030625	-0.451628109	1145.757517	236.834391	9	5	23066666.67	109
20220911 030013	-0.262581997	1036.846301	246.4544434	7	5	23053333.33	88
20220911 030504	-0.236478738	705.448668	234.8021594	9	5	23013333.33	105
20220911 025829	-0.244190319	1367.221357	245.0912208	20	5	22920000	82
20220911 025311	-0.317037217	1071.427099	255.5959358	10	5	22853333.33	66
20220911 025532	-0.274200743	1336.40633	235.7391893	9	5	22813333.33	74
20220911 030044	-0.618248656	1075.136663	230.4524305	8	5	22813333.33	90
20220911 025724	-0.195213726	1074.730267	227.3468888	17	5	22693333.33	79
20220911 030028	-0.368677002	1119.584071	252.563526	7	5	22666666.67	89
20220911 024705	-0.312926621	687.6976669	272.5633185	8	5	22573333.33	43
20220911 025237	-0.383573154	827.6967696	271.4745777	9	5	22573333.33	64
20220911 025807	-0.282535552	1085.765028	232.5542098	14	5	22546666.67	81
20220911 025423	-0.517564342	1325.637924	235.141688	6	5	22506666.67	70
20220911 025141	-0.358316086	1222.09472	172.7326342	8	5	22493333.33	60
20220911 025552	-0.371670634	1752.01251	239.9934943	9	5	22493333.33	75
20220911 024235	-0.204576464	1113.982885	268.466019	10	5	22480000	28
20220911 030341	-0.086706723	632.8884201	139.1677923	8	5	22466666.67	100
20220911 023640	-0.736970651	944.4380536	286.3124323	12	5	22413333.33	6
20220911 030823	-0.967980471	1179.136999	345.2644715	20	5	22373333.33	115
20220911 025253	-0.943464924	1080.330138	352.1152837	9	5	22333333.33	65
20220911 024649	-0.7422262	1204.340347	313.4184036	8	5	22280000	42
20220911 024558	-0.999948225	926.3324096	378.7313777	11	5	22240000	39
20220911 024539	-0.651448082	1668.38254	296.1856317	11	5	22213333.33	38
20220911 023534	-0.597724472	1778.289924	150.8786121	7	5	22173333.33	2
20220911 024930	-0.348457474	1718.420842	279.7032633	14	5	22173333.33	52
20220911 025349	-0.826763438	1334.200304	321.2848841	12	5	22146666.67	68
20220911 024614	-0.999625609	1665.517822	831.9791359	8	5	22120000	40
20220911 024108	-0.979255254	660.1848813	329.9302088	6	5	22106666.67	23
20220911 024910	-0.360069326	1678.514538	835.4905807	20	5	22106666.67	51
20220911 025854	-0.107968536	465.6535653	229.7023733	20	5	22106666.67	83
20220911 024027	-0.196786559	1729.566154	861.3467041	15	5	22026666.67	20
20220911 030732	-0.375710383	1199.019198	599.2544569	19	5	22013333.33	112
20220911 024741	-0.228676126	615.0056671	305.0213093	12	5	2.20E+07	45
20220911 030157	-0.268789446	2027.749514	232.4430748	18	5	21986666.67	94
20220911 024218	-0.999853019	1591.993563	288.0281958	10	5	21973333.33	27
20220911 025105	-0.610106055	887.8875264	359.5211006	6	5	21946666.67	58
20220911 030447	-0.854570025	1715.95415	856.7172015	20	5	21933333.33	104
20220911 024253	-0.530533024	1170.463414	384.3336742	10	5	21906666.67	29
20220911 030233	-0.977816756	1336.491629	665.3713457	13	5	21880000	96
20220911 024128	-0.888006234	1049.60428	524.3698473	13	5	21853333.33	24
20220911 023850	-0.756668592	1379.343514	478.8654154	15	5	21813333.33	15
20220911 030801	-0.076266275	1210.765453	605.3751481	7	5	21800000	114
20220911 024722	-0.171590188	2116.977305	837.2202099	10	5	21786666.67	44
20220911 024849	-0.59299548	1947.26216	972.5337862	14	5	21773333.33	50
20220911 025331	-0.51857457	1827.309515	910.5562449	20	5	21760000	67
20220911 025911	-0.108918766	1734.145121	863.9685701	9	5	21746666.67	84
20220911 023714	-0.940890113	1966.892395	888.5668039	17	5	21733333.33	8
20220911 030544	-0.30621642	1813.906391	905.3363031	12	5	21720000	107
20220911 024633	-0.769265001	1616.275362	807.126856	13	5	21706666.67	41
20220911 025210	-0.976800284	2003.210594	998.9954477	12	5	21693333.33	62
20220911 030607	-0.375728246	1886.372641	937.5330092	17	5	21693333.33	108
20220911 030305	-0.533363212	1998.193648	997.9413237	6	5	21666666.67	98
20220911 030746	-0.252048956	1994.439294	979.8049198	6	5	21640000	113
20220911 023925	-0.142465498	2002.070983	998.3426662	9	5	21613333.33	17
20220911 025409	-0.121402212	2079.268941	895.5099009	20	5	21600000	69
20220911 025932	-0.691326776	1427.975491	713.5131554	16	5	21586666.67	85
20220911 024440	-0.222834153	1108.947162	553.874994	8	5	21573333.33	35
20220911 030355	-0.898747245	1999.402431	998.2064405	6	5	21546666.67	101
20220911 025030	-0.448265458	1619.396808	808.4197456	14	5	21520000	56
20220911 030135	-0.999575815	1646.580807	821.2831598	20	5	21520000	93
20220911 025945	-0.369004406	1958.790452	978.5695445	5	5	21506666.67	86
20220911 024501	-0.132888298	1470.572039	734.4389482	15	5	21440000	36
