fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 093344	-0.999711342	2016.564075	999.7079936	16	5	22333333.33	38
20220911 094510	-0.514479974	1500.176082	748.0577203	20	5	22320000	78
20220911 094914	-0.06440719	1537.199404	766.6040666	6	5	22213333.33	94
20220911 094123	-0.894866154	3850.758119	437.8440987	20	5	22186666.67	65
20220911 092713	-0.690397579	1970.347313	853.4086866	5	5	22173333.33	12
20220911 093402	-0.9454428	2000.344792	997.4773406	20	5	22173333.33	39
20220911 095331	-0.636435146	1502.963388	750.8271886	10	5	22160000	109
20220911 092849	-0.579364943	1716.798016	858.3845089	18	5	22146666.67	18
20220911 093420	-0.830392129	2000.23803	999.5023149	11	5	22120000	40
20220911 092454	-0.271664049	2670.798981	624.0582913	14	5	22106666.67	2
20220911 093529	-0.828179063	3003.233105	296.1390409	5	5	22106666.67	44
20220911 094950	-0.61564566	1394.519682	690.977249	13	5	22106666.67	96
20220911 093814	-0.952705664	2623.50923	999.5888008	17	5	22093333.33	54
20220911 095350	-0.627393772	1662.949774	780.5691293	16	5	22080000	110
20220911 093721	-0.999173676	2009.515246	998.8845969	4	5	22066666.67	51
20220911 093913	-0.500247404	3732.089095	462.5521077	18	5	22053333.33	58
20220911 093326	-0.461494789	1996.729019	996.6805587	4	5	22040000	37
20220911 094353	-0.221806082	2229.956435	970.0919766	12	5	22040000	74
20220911 095532	-0.242138418	1612.086927	278.0327751	8	5	22040000	115
20220911 094102	-0.336169228	1996.811322	991.259195	14	5	22026666.67	64
20220911 092558	-0.646276259	3426.327797	436.542873	11	5	22013333.33	6
20220911 094715	-0.379190554	1558.341979	778.7782983	8	5	22013333.33	86
20220911 093923	-0.794105209	1875.322708	860.0127494	3	5	2.20E+07	59
20220911 094931	-0.061697214	3148.673474	957.1797632	7	5	2.20E+07	95
20220911 095038	-0.893246051	1992.590387	995.5537973	20	5	2.20E+07	99
20220911 094018	-0.854659409	2227.060017	999.7561818	20	5	21973333.33	62
20220911 092824	-0.078451762	3614.108469	999.8668424	3	5	21960000	17
20220911 094548	-0.691828775	809.0147219	402.7565263	7	5	21960000	81
20220911 093853	-0.8562208	1664.738106	831.5705541	3	5	21946666.67	57
20220911 093213	-0.415682204	1988.769007	984.6174922	20	5	21893333.33	32
20220911 094210	-0.04595431	14.01810886	6.108946422	6	5	21893333.33	68
20220911 092607	-0.572259851	4491.143171	166.8220785	3	5	21880000	7
20220911 092916	-0.613209432	68.28195838	21.46239443	4	5	21880000	20
20220911 093842	-0.690740837	1827.718352	180.1119139	3	5	21880000	56
20220911 094449	-0.642166873	1563.985489	199.5866417	11	5	21880000	77
20220911 095009	-0.661033791	1963.072149	981.2007741	20	5	21880000	97
20220911 095151	-0.999780968	2977.73208	318.2933079	6	5	21880000	103
20220911 093643	-0.57118592	2043.109351	167.1425177	8	5	21866666.67	48
20220911 094641	-0.707805662	2010.281576	995.1705784	12	5	21866666.67	84
20220911 093040	-0.336986787	1986.99736	991.3974435	20	5	21853333.33	25
20220911 094850	-0.197647263	3843.077314	764.9212856	9	5	21853333.33	92
20220911 095020	-0.820579974	4979.743085	605.1083957	3	5	21853333.33	98
20220911 094427	-0.249979501	4224.555089	459.4332464	12	5	21840000	76
20220911 094606	-0.83058202	2885.11672	998.6909943	5	5	21840000	82
20220911 092749	-0.474471178	1087.802725	317.9959664	18	5	21826666.67	14
20220911 094758	-0.55965642	3512.032292	822.0775909	11	5	21826666.67	88
20220911 095409	-0.278136901	3290.762155	855.330454	13	5	21826666.67	111
20220911 093602	-0.972419315	3279.192076	999.4819668	11	5	21800000	46
20220911 093959	-0.580826358	2893.537106	192.4855721	15	5	21800000	61
20220911 093135	-0.047621435	1945.356511	955.7366332	3	5	21786666.67	29
20220911 092504	-0.415093534	4349.074763	649.7747911	5	5	21773333.33	3
20220911 092759	-0.274068785	3016.668758	674.6004013	5	5	21773333.33	15
20220911 093517	-0.893138557	3968.831561	998.72501	17	5	21773333.33	43
20220911 093756	-0.466517829	2221.015975	567.3595613	13	5	21760000	53
20220911 092703	-0.96718501	4712.68287	358.4295429	19	5	21746666.67	11
20220911 095201	-0.825860055	1254.856713	625.8939608	3	5	21746666.67	104
20220911 094305	-0.308558795	1268.178357	631.821594	11	5	21733333.33	71
20220911 094901	-0.70029116	581.8283658	289.7071819	3	5	21733333.33	93
20220911 095119	-0.490293303	1961.906874	980.7280142	18	5	21733333.33	101
20220911 095300	-0.916148056	3188.511926	676.2939444	19	5	21733333.33	107
20220911 093049	-0.859299742	4996.221585	974.3019188	3	5	21720000	26
20220911 095430	-0.394768449	1365.561125	682.2012795	18	5	21706666.67	112
20220911 094624	-0.99990681	1870.157057	889.8940739	11	5	21693333.33	83
20220911 094659	-0.806678494	3178.013614	231.8738094	11	5	21693333.33	85
20220911 093302	-0.770000998	4987.780668	995.9992597	3	5	21666666.67	35
20220911 094742	-0.927450742	3840.954955	242.3436978	20	5	21666666.67	87
20220911 092437	-0.894861329	2332.643031	267.2139856	18	5	21653333.33	1
20220911 092815	-0.945996995	2408.888233	114.1322397	10	5	21653333.33	16
20220911 093106	-0.232799137	4954.299325	985.0729774	20	5	21653333.33	27
20220911 094156	-0.088923285	4975.185369	683.7922525	6	5	21653333.33	67
20220911 093125	-0.308198201	4997.563867	508.4135677	20	5	21640000	28
20220911 093621	-0.90953653	2533.37694	643.585158	14	5	21640000	47
20220911 093655	-0.077605275	2793.534332	362.3951961	5	5	21640000	49
20220911 095100	-0.544041839	2015.613767	436.046084	20	5	21613333.33	100
20220911 095218	-0.364477651	4999.925243	992.0878347	20	5	21600000	105
20220911 095545	-0.064752777	4353.631382	999.5637152	5	5	21586666.67	116
20220911 092729	-0.153081311	4496.030254	956.4108555	12	5	21573333.33	13
20220911 092622	-0.063262886	1246.39726	238.1435098	9	5	21560000	8
20220911 093738	-0.999944748	4663.012841	977.7065486	20	5	21560000	52
20220911 092515	-0.02660435	2930.484883	905.760904	6	5	21546666.67	4
20220911 094235	-0.342092242	4252.680495	862.798595	17	5	21546666.67	69
20220911 093012	-0.616429946	2422.21578	999.6328829	3	5	21533333.33	23
20220911 093022	-0.532554665	596.5802807	295.9933113	3	5	21533333.33	24
20220911 093227	-0.13773016	2517.089534	956.326524	7	5	21533333.33	33
20220911 095313	-0.610018981	1141.420546	202.6012791	5	5	21520000	108
20220911 092906	-0.51293653	4783.893157	999.4346252	15	5	21493333.33	19
20220911 094818	-0.726079218	4169.961797	550.5150689	3	5	21493333.33	90
20220911 094144	-0.569879581	4999.051524	495.3221194	20	5	21480000	66
20220911 094409	-0.940760514	3417.369802	289.9511249	3	5	21466666.67	75
20220911 094835	-0.448837059	4998.89962	248.6108981	10	5	21453333.33	91
20220911 093546	-0.268808809	4961.43191	998.9453019	11	5	21440000	45
20220911 095516	-0.611695678	3355.955123	297.2387296	18	5	21440000	114
20220911 092530	-0.373527523	3912.261617	69.96970331	10	5	21426666.67	5
20220911 094532	-0.654588781	3393.563208	258.8512047	5	5	21426666.67	80
20220911 095137	-0.63213451	4112.40788	788.8495727	14	5	21426666.67	102
20220911 093155	-0.92625216	4995.784888	909.1149637	3	5	21413333.33	31
20220911 093314	-0.678328696	4991.534186	930.2751958	5	5	21413333.33	36
20220911 095452	-0.477695393	4998.706244	202.1391483	17	5	21400000	113
20220911 094247	-0.496044414	3430.791048	2.597040752	5	5	21386666.67	70
20220911 093833	-0.826596116	4992.332246	804.3080883	20	5	21373333.33	55
20220911 094808	-0.374925991	2930.975779	808.2099332	3	5	21333333.33	89
20220911 094314	-0.999969942	3244.744281	175.4350931	3	5	21306666.67	72
20220911 093252	-0.548309763	2973.539377	17.72593688	20	5	21253333.33	34
20220911 094335	-0.827141032	4409.884801	213.4597609	16	5	21253333.33	73
20220911 093938	-0.857809153	2174.222488	409.3129242	9	5	21240000	60
20220911 092645	-0.813638864	745.2977286	59.66471524	8	5	21106666.67	10
20220911 093145	-0.050631109	4993.245214	4.624768262	3	5	20653333.33	30
